company_code,employee_name,employee_role
isrg,"Dr. Myriam J. Curet McAdams F.A.C.S., M.D.",Executive Vice President and Chief Medical Officer
isrg,Robert DeSantis,Executive Vice President and Chief Product Officer
isrg,Jamie E. Samath,Senior Vice President of Finance and Principal Accounting Officer
isrg,Calvin Darling,Senior Director of IR
isrg,Kara Andersen Reiter,"Senior Vice President, General Counsel and Chief Compliance Officer"
isrg,Julian Nikolchev,Senior Vice President of Corporate Development and Strategy
isrg,Craig Child,Senior Vice President of Human Resources
ivz,"Martin L. Flanagan CFA, CPA","President, Chief Executive Officer and Director"
ivz,Laura Allison Dukes,Senior MD and Chief Financial Officer
ivz,"Gregory Gerard McGreevey C.F.A., CFA",Senior Managing Director of Investments
ivz,Andrew Tak Shing Lo,Senior MD and Head of Invesco Asia Pacific
ivz,Andrew Ryan Schlossberg,Senior MD and Head of the Americas
ivz,Carl M. Stanton CPA,Managing Partner and Head of Private Equity
ivz,David Farmer,Chief Operating Officer
ivz,Annette Janecka Lege,Chief Accounting Officer
ivz,Donie Lochan,"MD, Chief Technology Officer and Global Head of Technology"
ivz,Michael D. Hyman,Chief Investment Officer of Global Investment Grade and Emerging Markets
ipgp,Dr. Valentin P. Gapontsev,"Founder, Chairman and Chief Executive Officer"
ipgp,Timothy P. V. Mammen,Senior Vice President and Chief Financial Officer
ipgp,Dr. Eugene A. Scherbakov,"Chief Operating Officer, Senior Vice President of Europe and Director"
ipgp,Angelo P. Lopresti II,"Senior Vice President, General Counsel and Secretary"
ipgp,Dr. Alexander Ovtchinnikov,Senior Vice President of Components
ipgp,Thomas J. Burgomaster,"Vice President, Corporate Controller, Treasurer and Chief Accounting Officer"
ipgp,Igor Samartsev,Chief Technology Officer
ipgp,James F. Hillier,Vice President of Investor Relations
ipgp,Trevor D. Ness,Senior Vice President of Worldwide Sales and Marketing
ipgp,John Weaver,Vice President of Human Resources Worldwide
iqv,Ari Bousbib,"Chairman, President and Chief Executive Officer"
iqv,Ronald E. Bruehlman,Executive Vice President and Chief Financial Officer
iqv,Kevin C. Knightly,President of Technology and Commercial Solutions
iqv,Eric M. Sherbet,"Executive Vice President, General Counsel and Secretary"
iqv,W. Richard Staub III,President of Research & Development Solutions
iqv,Emmanuel N. Korakis,"Senior Vice President, Corporate Controller and Principal Accounting Officer"
iqv,Dr. Jeffrey A. Spaeder,"Senior Vice President, Global Chief Medical and Scientific Officer"
iqv,Alejandro Martinez,Chief Information Officer
iqv,Andrew Markwick,Senior Vice President of Investor Relations and Treasury
iqv,Trudy Stein,Chief Human Resources Officer and Executive Vice President
irm,"William L. Meaney BSc, MEng, MSIA","President, Chief Executive Officer and Director"
irm,Barry A. Hytinen,Executive Vice President and Chief Financial Officer
irm,John Tomovcsik,Executive Vice President and Chief Operating Officer
irm,Ernest W. Cloutier,Executive Vice President and GM of Global Records and Information Management
irm,Deirdre J. Evens,"Executive Vice President and GM of Records and Information Management, North America"
irm,Daniel Borges,Chief Accounting Officer and Senior Vice President
irm,Kimberly Anstett,Chief Technology Officer and Executive Vice President
irm,Greer Aviv,Senior Vice President of Investor Relations
irm,Deborah Marson,"Executive Vice President, General Counsel and Secretary"
irm,Christian T. Potts,Senior Manager of Corporate Communications
jkhy,David B. Foss,"President, Chief Executive Officer and Director"
jkhy,Kevin D. Williams,Chief Financial Officer and Treasurer
jkhy,Gregory R. Adelson,Chief Operating Officer
jkhy,Craig Keith Morgan,General Counsel and Secretary
jkhy,Steven W. Tomson,Senior Vice President and Chief Sales and Marketing Officer
jkhy,Renee Swearingen,GM of Finance and Accounting and Corporate Controller
jkhy,Teddy I. Bilke,Senior Vice President and Chief Technology Officer
jkhy,Jessica Randall,Corporate Communications Manager
jkhy,Stacey E. Zengel,Senior Vice President and President of Jack Henry Banking
jkhy,Shanon McLachlan,President of Symitar Division
j,Steven J. Demetriou,Chairman and Chief Executive Officer
j,Robert V. Pragada,President and Chief Operating Officer
j,Kevin C. Berryman,President and Chief Financial Officer
j,Joanne E. Caruso,Executive Vice President and Chief Legal and Administrative Officer
j,Dawne S. Hickton,Executive Vice President and Chief Operating Officer of Critical Mission Solutions
j,William Benton Allen Jr.,Senior Vice President and Chief Accounting Officer
j,Darren L. Kraabel,Chief Technology and Innovation Officer
j,Madhuri A. Andrews,"Senior Vice President, Chief Digital and Information Officer"
j,Jonathan Doros,Vice President of Investor Relations
j,Michael R. Tyler,"Senior Vice President, Chief Compliance Officer and General Counsel"
jbht,John N. Roberts III,"President, Chief Executive Officer and Director"
jbht,John Kuhlow,"Executive Vice President, Chief Financial Officer, Controller and Chief Accounting Officer"
jbht,Nicholas Hobbs,"President of Contract Services, Executive Vice President and Chief Operating Officer"
jbht,Shelley Simpson,Chief Commercial Officer and Executive Vice President of People and Human Resources
jbht,Darren P. Field,Executive Vice President and President of Intermodal
jbht,Stuart L. Scott Jr.,Executive Vice President and Chief Information Officer
jbht,A. Brad Delco,Vice President of Finance and Investor Relations
jbht,Jennifer R. Boattini,"Senior Vice President of Legal and Litigation, General Counsel and Corporate Secretary"
jbht,Craig Harper,Executive Vice President and Chief Sustainability Officer
jbht,Greg Breeden,Senior Vice President of JBT Marketing and Network Development
sjm,Richard K. Smucker,Executive Chairman
sjm,Mark T. Smucker,"Chief Executive Officer, President and Director"
sjm,John P. Brase,Chief Operating Officer
sjm,Jeannette L. Knudsen,Chief Legal and Compliance Officer and Secretary
sjm,Tucker H. Marshall,Chief Financial Officer
sjm,Jill R. Penrose,Chief People and Administrative Officer
sjm,Aaron Broholm,Vice President of Investor Relations
sjm,Ray Hancart,Director of Communications and Media Relations
sjm,Geoff E. Tanner,Chief Marketing and Commercial Officer
sjm,Robert D. Ferguson,Senior Vice President and GM of Pet Food and Pet Snacks Business
jnj,Alex Gorsky,Chairman and Chief Executive Officer
jnj,Joseph J. Wolk CPA,Executive Vice President and Chief Financial Officer
jnj,Dr. Paulus A. Stoffels,Chief Scientific Officer
jnj,Joaquin Duato,Vice Chairman of Executive Committee
jnj,Jennifer L. Taubert,Executive Vice President and Worldwide Chairman of Pharmaceuticals
jnj,Robert J. Decker Jr.,Controller and Chief Accounting Officer
jnj,James Swanson,Executive Vice President and Global CIO
jnj,Christopher DelOrefice,Vice President of Investor Relations
jnj,Michael H. Ullmann,Executive Vice President and General Counsel
jnj,Ashley Watson,Chief Compliance Officer
jci,George R. Oliver,Chairman and Chief Executive Officer
jci,Olivier C. Leonetti,Executive Vice President and Chief Financial Officer
jci,Jeffrey M. Williams,"Vice President and President of Global Products, Building Technologies and Solutions"
jci,Ganesh Ramaswamy,Vice President and President of Global Services and Transformation
jci,Robert M. VanHimbergen,"Vice President, Corporate Controller and Principal Accounting Officer"
jci,Diane K. Schwarz,Chief Information Officer
jci,Antonella Franzen,Vice President and Chief Investor Relations and Communications Officer
jci,John Donofrio,"Executive Vice President, Corporate Secretary and General Counsel"
jci,Philip B. Clement,Chief Marketing Officer
jci,Lynn C. Minella,Executive Vice President and Chief Human Resources Officer
jpm,James Dimon,Chairman and Chief Executive Officer
jpm,Daniel Eduardo Pinto,"Co-President, Chief Operating Officer and Chief Executive Officer of Corporate and Investment Bank"
jpm,Gordon A. Smith,"Co-President, Chief Operating Officer and Chief Executive Officer of Consumer and Community Banking"
jpm,Jennifer A. Piepszak,Executive Vice President and Chief Financial Officer
jpm,Mary Callahan Erdoes,Chief Executive Officer of Asset and Wealth Management
jpm,John Horner,Chief Investment Officer and Treasurer
jpm,Elena A. Korablina,Corporate Controller and Principal Accounting Officer
jpm,Lori Ann Beer,Global Chief Information Officer
jpm,Reginald Chambers J.D.,Head of Investor Relations
jpm,Stacey Friedman,Executive Vice President and General Counsel
jnpr,Rami Rahim,Chief Executive Officer and Director
jnpr,Kenneth Bradley Miller,Executive Vice President and Chief Financial Officer
jnpr,Brian Michael Martin,"Senior Vice President, General Counsel and Corporate Secretary"
jnpr,Manoj Leelanivas,Executive Vice President and Chief Product Officer
jnpr,Anand Athreya,Executive Vice President and Chief Development Officer
jnpr,Thomas A. Austin,"Vice President, Corporate Controller and Chief Accounting Officer"
jnpr,Dr. Raj Yavatkar,Chief Technology Officer
jnpr,Sharon Mandell,Senior Vice President and Chief Information Officer
jnpr,Jess Ian Lubert,Vice President of Investor Relations
jnpr,Michael Marcellin,Chief Marketing Officer and Senior Vice President
ksu,Patrick J. Ottensmeyer,"Chief Executive Officer, President and Director"
ksu,Michael W. Upchurch,Executive Vice President and Chief Financial Officer
ksu,Michael J. Naatz,Executive Vice President and Chief Marketing Officer
ksu,Jeffrey M. Songer,Executive Vice President of Strategic Merger Planning
ksu,Brian D. Hancock,Executive Vice President and Chief Innovation Officer
ksu,John F. Orr,Executive Vice President of Operations
ksu,Suzanne M. Grafton,Vice President and Chief Accounting Officer
ksu,Warren K. Erdman,Executive Vice President of Administrative and Corporate Affairs
ksu,Ashley A. Thorne,Vice President of Investor Relations
ksu,Adam J. Godderz,"Senior Vice President, Chief Legal Officer and Corporate Secretary"
k,Steven A. Cahillane,"Chairman, Chief Executive Officer and Pres"
k,Amit Banati,"Senior Vice President, Chief Financial Officer and Principal Financial Officer"
k,Gary H. Pilnick,"Vice Chairman of Corporate Development, Chief Legal Officer and Secretary"
k,Alistair D. Hirst,Senior Vice President of Global Supply Chain
k,Christopher M. Hood,Senior Vice President and President of Kellogg North America
k,Kurt D. Forche,"Vice President, Corporate Controller and Principal Accounting Officer"
k,Lesley Salmon,Senior Vice President and Chief Information Officer
k,John P. Renwick IV,Vice President of Investor Relations and Corporate Planning
k,Michael Hunter,Vice President of Global Sales
k,Melissa A. Howell,Senior Vice President and Chief Human Resources Officer
key,Christopher Marrott Gorman,"Chairman, President and Chief Executive Officer"
key,Donald R. Kimble Jr.,Chief Financial Officer and Chief Administrative Officer
key,Amy G. Brady,Chief Information Officer and Executive Vice President
key,Andrew Jackson Paine III,Executive Vice President and Head of Institutional Bank
key,Angela G. Mago,Head of Commercial Bank
key,Douglas M. Schosser CPA,Chief Accounting Officer and Executive Officer
key,Vernon L. Patterson,Executive Vice President of Investor Relations
key,Susan E. Donlan,Chief Communications Officer
key,Brian L. Fishel,Chief Human Resource Officer and Executive Vice President
key,Jeffery J. Weaver,Head of Qualitative Risk - Risk Management and Executive Vice President
keys,Ronald S. Nersesian,"Executive Chairman, Chief Executive Officer and Pres"
keys,Neil P. Dougherty,Senior Vice President and Chief Financial Officer
keys,Satish Dhanasekaran,Senior Vice President and Chief Operating Officer
keys,Mark A. Wallace,Senior Vice President and Head of Global Sales
keys,Soon Chai Gooi,Senior Vice President and President of Order Fulfillment and Digital Operations
keys,John C. Skinner,"Principal Accounting Officer, Vice President and Corporate Controller"
keys,Jay Alexander,Chief Technology Officer and Senior Vice President
keys,Ingrid A. Estrada,"Senior Vice President, Chief Administrative Officer and Chief of Staff"
keys,Jason Kary,Vice President of Treasurer and Investor Relations
keys,Jeffrey K. Li,"Senior Vice President, General Counsel and Secretary"
kmb,Michael D. Hsu,Chairman and Chief Executive Officer
kmb,Maria G. Henry,Senior Vice President and Chief Financial Officer
kmb,Sandi Karrmann,Senior Vice President and Chief Human Resources Officer
kmb,Russell C. Torres,Group President of Kimberly-Clark North America
kmb,Paul J. Alexander,Vice President of Investor Relations
kmb,Jeffrey P. Melucci,Chief Transformation of Business Development and Legal Officer
kmb,Cristina Garcia-Cervigon,Regional Managing Director of Austral
kmb,Aaron M. Powell,President of Asia-Pacific Consumer Business
kmb,Tristram Wilkinson,President of EMEA Consumer Business
kmb,Alison Lewis,Chief Growth Officer
kim,Milton Cooper,Co-Founder and Executive Chairman
kim,Conor C. Flynn,Chief Executive Officer and Director
kim,Ross Cooper,President and Chief Investment Officer
kim,Glenn Gary Cohen CPA,"Executive Vice President, Chief Financial Officer and Treasurer"
kim,David Jamieson,Executive Vice President and Chief Operating Officer
kim,Paul Westbrook,Vice President and Chief Accounting Officer
kim,Kenneth Fisher,Vice President and Chief Technology Officer
kim,Thomas R. Taddeo,Senior Vice President and Chief Information Officer
kim,David F. Bujnicki,Senior Vice President of Investor Relations and Strategy
kim,Bruce M. Rubenstein,"Executive Vice President, General Counsel and Secretary"
kmi,Steven J. Kean,Chief Executive Officer and Director
kmi,Kimberly Allen Dang,President and Director
kmi,David Patrick Michels,Vice President and Chief Financial Officer
kmi,James E. Holland,Vice President and Chief Operating Officer
kmi,Dax A. Sanders CPA,Vice President and President of Products Pipelines
kmi,Richard D. Kinder,Executive Chairman
kmi,Mark Huse,Vice President and Chief Information Officer
kmi,Denise R. Mathews,Vice President and Chief Administrative Officer
kmi,Catherine B. Callaway James,Vice President and General Counsel
kmi,David W. Conover,Vice President of Gov. Relations and Communications
klac,Richard P. Wallace,"President, Chief Executive Officer and Executive Director"
klac,Bren D. Higgins,Executive Vice President and Chief Financial Officer
klac,Ahmad A. Khan,President of Semiconductor Process Control
klac,Brian W. Lorig,Executive Vice President and GM of Global Support and Services
klac,Oreste Donzella,"Executive Vice President - Electronics, Packaging and Components"
klac,Virendra A. Kirloskar,Senior Vice President and Chief Accounting Officer
klac,Dr. Ben Bin-Ming Tsai,Chief Technology Officer and Executive Vice President of Corporate Alliances
klac,"Kevin M. Kessel C.F.A., CFA",Vice President of Investor Relations
klac,MaryBeth Wilkinson,"Executive Vice President, Chief Legal Officer and Corporate Secretary"
klac,Becky Howland Ph.D.,Senior Director of Corporate Communications
khc,Miguel Patricio,Chief Executive Officer
khc,Paulo Luiz Araujo Basilio,Global Chief Financial Officer
khc,Flavio Barros Torres,Head of Global Operations
khc,Rafael de Oliveira,Zone President of International
khc,Carlos A. Abrams-Rivera,U.S. Zone Pres
khc,Vince Garlati,"Vice President, Principal Accounting Officer and Global Controller"
khc,"Christopher M. Jakubik C.F.A., CFA",Head of Global Investor Relations
khc,Rashida K. La Lande,"Senior Vice President, Global General Counsel, Head of ESG and Gov. Affairs and Corporate Secretary"
khc,Peter Hall,Vice President of Sales
khc,Melissa Alves Werneck,Global Chief People Officer
kr,William Rodney McMullen,Chairman and Chief Executive Officer
kr,Gary Millerchip,Senior Vice President and Chief Financial Officer
kr,Michael J. Donnelly,Executive Vice President and Chief Operating Officer
kr,Yael Cosset,Senior Vice President of Alternative Business and Chief Information Officer
kr,Stuart W. Aitken,Senior Vice President and Chief Merchant and Marketing Officer
kr,Rebekah Manis,Director of Investor Relations
kr,Christine S. Wheatley,"Group Vice President, Secretary and General Counsel"
kr,Kristal Howard,Head of Corporate Communications and Media Relations
kr,Timothy A. Massa,Senior Vice President of Human Resources and Labor Relations
kr,Calvin J. Kaufman,Senior Vice President of Retail Divisions
lb,Andrew M. Meslow,Chief Executive Officer and Director
lb,Leslie H. Wexner,Founder and Chairman Emeritus
lb,Stuart B. Burgdoerfer,"Executive Vice President, Chief Financial Officer and Interim Chief Executive Officer of VS Newco"
lb,Deon N. Riley,Chief Human Resources Officer
lb,James L. Bersani,President of Real Estate
lb,Julie B. Rosen,President of Bath and Body Works
lb,Amie Preston,Chief Investor Relations Officer
lb,Samuel P. Fried,"Executive Vice President of Law, Policy and Governance and Secretary"
lb,Bruce A. Soll,Senior Vice President and Counsel of Company Affairs
lb,Edward G. Razek,President of Brand and Creative Services and Chief Marketing Officer of Brand and Creative Services
lhx,William M. Brown,Executive Chairman and Chief Executive Officer
lhx,"Christopher E. Kubasik CPA, CPA","Vice Chairman, President and Chief Operating Officer"
lhx,Jesus Malave Jr.,Senior Vice President and Chief Financial Officer
lhx,Edward J. Zoiss,President of Space and Airborne Systems
lhx,Todd W. Gautier,President of Aviation Systems
lhx,Todd A. Taylor,Vice President and Principal Accounting Officer
lhx,Ross Niebergall,Vice President and Chief Technology Officer
lhx,Jacqueline Nevils,Vice President and Chief Information Officer
lhx,Anurag Maheshwari,Vice President of Investor Relations
lhx,Scott T. Mikuen,"Senior Vice President, General Counsel and Secretary"
lh,Adam H. Schechter,"President, Chief Executive Officer and Chairman"
lh,Glenn A. Eisenberg,Chief Financial Officer and Executive Vice President
lh,"Dr. Brian J. Caveney M.P.H., M.D., J.D., MPH","Executive Vice President, President of Diagnostics and Chief Medical Officer"
lh,Mark S. Schroeder,Executive Vice President and President of Diagnostics Laboratory Operations and Global Supply Chain
lh,Dr. Paul R. Kirchgraber M.D.,Executive Vice President and Chief Executive Officer of Covance Drug Development
lh,Dr. Michelle Abelson,Laboratory Director of Operations
lh,Peter J. Wilkinson,Senior Vice President and Chief Accounting Officer
lh,Lance V. Berberian,Executive Vice President and Chief Information and Technology Officer
lh,Dr. Marcia T. Eisenberg,Chief Scientific Officer and Senior Vice President
lh,Clarissa Willett,Vice President of Investor Relations
lrcx,Timothy M. Archer,"President, Chief Executive Officer and Director"
lrcx,Douglas R. Bettinger,"Executive Vice President, Chief Financial Officer and Chief Accounting Officer"
lrcx,Dr. Richard A. Gottscho,Executive Vice President and Chief Technology Officer
lrcx,Dr. Patrick J. Lord,Executive Vice President of Customer Support Business Group and Global Operations
lrcx,Seshasayee Varadarajan,Senior Vice President and GM of Deposition Business Unit
lrcx,Robert F. Hawthorne,Chief Information Officer
lrcx,Tina Correia,Corporate Vice President of Investor Relations and Corporate Finance
lrcx,Ava M. Hahn,"Senior Vice President, Chief Legal Officer and Secretary"
lrcx,Stacey MacNeil,Chief Communications Officer
lrcx,Audrey Charles,Senior Vice President of Strategic Planning and Marketing
lw,Thomas P. Werner,"President, Chief Executive Officer and Director"
lw,Robert M. McNutt,Senior Vice President and Chief Financial Officer
lw,Sharon L. Miller,Senior Vice President and GM of Global Business Unit
lw,Michael Jared Smith,"Senior Vice President and GM of Foodservice, Retail, Marketing and Innovation"
lw,Gerardo Scheufler,Senior Vice President and Chief Supply Chain Officer
lw,Dexter P. Congbalay,Vice President of Investor Relations
lw,Eryk J. Spytek,"Senior Vice President, General Counsel and Corporate Secretary"
lw,Micheline C. Carter,Senior Vice President and Chief Human Resources Officer
lw,John C. Hatto,Senior Vice President of Strategy and Growth
lw,Bernadette M. Madarieta,Vice President and Controller
lvs,Robert Glen Goldstein,"Chairman, Chief Executive Officer and Treasurer"
lvs,Patrick Dumont,"President, Chief Operating Officer and Director"
lvs,D. Zachary Hudson,"Executive Vice President, General Counsel and Secretary"
lvs,Randy A. Hyzak,Chief Financial Officer
lvs,Daniel J. Briggs,Senior Vice President of Investor Relations
lvs,Ronald Reese,Senior Vice President of PR
lvs,David Reese Sylvester,Executive Vice President of Global Retail
lvs,Grant Chum,Senior Vice President of Global Gaming Strategy
lvs,Mark Juliano,President of Sands Bethlehem
lvs,Stephanie Marz,Vice President of Corporate Accounting
leg,Karl G. Glassman,Chairman and Chief Executive Officer
leg,J. Mitchell Dolloff,"President, Chief Operating Officer, President of Bedding Products Segment and Director"
leg,Jeffrey L. Tate,Executive Vice President and Chief Financial Officer
leg,Scott S. Douglas,"Senior Vice President, General Counsel and Secretary"
leg,Steven K. Henderson,"Executive Vice President and President of Specialized Products Segment, Furniture, Flooring and Textile Products Segment"
leg,Tammy M. Trent,Senior Vice President and Chief Accounting Officer
leg,Susan R. McCoy,Senior Vice President of Investor Relations
leg,Christina Ptasinski,Senior Vice President and Chief Human Resources Officer
leg,Charles P. Hutchins,Vice President and Chief Tax Officer
leg,Darrel E. Wild,Vice President and Chief Credit Officer
ldos,Roger A. Krone,Chairman and Chief Executive Officer
ldos,James C. Reagan,Executive Vice President and Chief Financial Officer
ldos,Jerald S. Howe Jr.,Executive Vice President and General Counsel
ldos,Gerard A. Fasano,Group President of Defense Group
ldos,David A. King,Group President of Dynetics Business
ldos,Christopher R. Cage,"Senior Vice President, Corporate Controller and Chief Accounting Officer"
ldos,James F. Carlini,Chief Technology Officer
ldos,Steve Hull,Senior Vice President and Chief Information Officer
ldos,Peter M. Berl,Senior Vice President and Investor Relations Executive
ldos,Melissa Koskovich,SVice President and Director of Corporate Communications and Marketing
len,Stuart A. Miller,Executive Chairman
len,Jonathan M. Jaffe,"Co-Chief Executive Officer, Co-President and Director"
len,Richard Beckwitt,"Co-Chief Executive Officer, Co-President and Director"
len,Diane J. Bessette,"Vice President, Chief Financial Officer and Treasurer"
len,Mark Sustana Esq.,"Vice President, General Counsel and Secretary"
len,Jeffrey J. McCall,Executive Vice President
len,Fred B. Rothman,Chief Operating Officer
len,Allison L. Bober,Senior Manager of Investor Relations
len,Kay L. Howard,Chief Marketing and Communications Officer
len,Tench Tilghman,President of Pennsylvania and Delaware Markets
lly,David A. Ricks,"Chairman, Chief Executive Officer and Pres"
lly,Dr. Daniel M. Skovronsky,"Senior Vice President, Chief Scientific Officer and President of Lilly Research Labs"
lly,Anat Hakim J.D.,"Senior Vice President, General Counsel and Secretary"
lly,Alfonso G. Zulueta,Senior Vice President and President of Lilly International
lly,Joshua L. Smiley,Executive Officer
lly,Anat Ashkenazi,Senior Vice President and Chief Financial Officer
lly,Jacob S. Van Naarden,Chief Operating Officer of Loxo Oncology
lly,Donald A. Zakrowski,Chief Accounting Officer and Vice President of Finance
lly,Martin Bott MIBS,Vice President of Finance and Special Projects
lly,Aarti Shreyas Shah Ph.D.,Senior Vice President and Chief Information and Digital Officer
lnc,Dennis Robert Glass,"President, Chief Executive Officer and Director"
lnc,"Randal Jay Freitag FSA, MAAA","Executive Vice President, Chief Financial Officer and Head of Individual Life"
lnc,"Ellen Gail Cooper C.F.A., F.S.A.","Executive Vice President, Chief Investment Officer and Head of Enterprise Risk and Annuity Solutions Group"
lnc,Jamie Burgener Ohl,"Executive Vice President, President of Workplace Solutions and Head of Operations and Brand"
lnc,Christine A. Janofsky,Senior Vice President and Chief Accounting Officer
lnc,Kenneth Steven Solon,"Executive Vice President, Chief Information Officer and Head of Digital"
lnc,Lucy Denise Gase,Senior Vice President and Head of Administrative Services and Strategic Support
lnc,Al Copersino,Vice President and Head of Investor Relations
lnc,Steve Harris,Chief Ethics and Compliance Officer and Senior Vice President
lnc,Craig T. Beazer,Executive Vice President and General Counsel
lin,Stephen F. Angel,Chief Executive Officer and Director
lin,Matthew J. White,Executive Vice President and Chief Financial Officer
lin,Sanjiv Lamba,Executive Vice President and Chief Operating Officer
lin,Kelcey E. Hoyt,Chief Accounting Officer
lin,Juan Pelaez,Head of Investor Relations
lin,Guillermo Bichara,General Counsel
lin,Dr. Andreas Opfermann,Executive Vice President of Americas
lin,Juergen Nowicki,Executive Vice President and Chief Executive Officer of Linde Engineering
lin,John Mathew Panikar,Executive Vice President of APAC
lin,Sean F. Durbin,Executive Vice President of EMEA
lyv,Michael Rapino,"President, Chief Executive Officer and Director"
lyv,Joe Berchtold,President
lyv,Kathy Willard,Chief Financial Officer
lyv,Brian J. Capo,Chief Accounting Officer and Senior Vice President
lyv,Michael G. Rowles,"Executive Vice President, General Counsel and Secretary"
lyv,Jacqueline Beato,Executive Vice President of Operations
lyv,Maili Bergman,Senior Vice President of Investor Relations
lyv,Carrie Davis,Chief Communications Officer
lyv,Amy Marks,Executive Vice President and Head of Integrated Marketing
lyv,Mark Campana,Chief Operating Officer of US Concerts
lkq,Joseph M. Holsten,Executive Chairman
lkq,Dominick P. Zarcone,"President, Chief Executive Officer and Director"
lkq,Varun Laroyia,Executive Vice President and Chief Financial Officer
lkq,Walter P. Hanley,Senior Vice President of Development
lkq,Justin L. Jude,Senior Vice President of Operations - Wholesale Parts Division
lkq,Arnd Franz,Chief Executive Officer-LKQ Europe
lkq,Michael T. Brooks,Senior Vice President and Chief Information Officer
lkq,Joseph P. Boutross,Vice President of Investor Relations
lkq,Matthew J. McKay,"Senior Vice President, General Counsel and Corporate Secretary"
lkq,Guido Weber,Director of Corporate Communications and Gov. Affairs
lmt,James D. Taiclet Jr.,"Chairman, President and Chief Executive Officer"
lmt,Kenneth R. Possenriede,Chief Financial Officer
lmt,Frank A. St. John,Chief Operating Officer
lmt,Marillyn A. Hewson,Strategic Adviser to Chief Executive Officer
lmt,Richard F. Ambrose,Executive Vice President of Space
lmt,Brian P. Colan,"Vice President, Controller and Chief Accounting Officer"
lmt,Dana Jackson,Chief Technology Officer
lmt,Greg Gardner,Vice President of Investor Relations
lmt,Maryanne R. Lavan,"Senior Vice President, General Counsel and Corporate Secretary"
lmt,Dean Acosta,Senior Vice President and Chief Communications Officer
l,Andrew H. Tisch,Co-Chairman
l,Jonathan M. Tisch,Co-Chairman
l,James S. Tisch,"President, Chief Executive Officer and Director"
l,David B. Edelson,Senior Vice President and Chief Financial Officer
l,Kenneth I. Siegel,Senior Vice President
l,Richard Waldo Scott,Senior Vice President and Chief Investment Officer
l,Mark S. Schwartz,"Vice President, Chief Accounting Officer and Treasurer"
l,Mary Skafidas,Vice President of IR and Corporate Communications
l,Marc A. Alpert J.D.,"Senior Vice President, General Counsel and Corporate Secretary"
l,Benjamin J. Tisch,Vice President of Corporate Development
low,Marvin R. Ellison,"President, Chief Executive Officer and Director"
low,David M. Denton,"Executive Vice President, Chief Financial Officer and Principal Financial Officer"
low,Seemantini Godbole,Executive Vice President and Chief Information Officer
low,William P. Boltz,Executive Vice President of Merchandising
low,Joseph Michael McFarland III,Executive Vice President of Stores
low,Dan Clayton Griggs Jr.,Senior Vice President of Tax and Chief Accounting Officer
low,Kate Pearlman,Vice President of Investor Relations
low,Ross William McCanless,"Executive Vice President, General Counsel and Corporate Secretary"
low,Jeff R. Vining,"Senior Vice President, Chief Compliance Officer and Deputy General Counsel"
low,Marisa F. Thalberg,Executive Vice President and Chief Brand and Marketing Officer
lumn,Jeffrey K. Storey,"President, Chief Executive Officer and Director"
lumn,Indraneel Dev,Executive Vice President and Chief Financial Officer
lumn,Stacey W. Goff,"Executive Vice President, General Counsel and Secretary"
lumn,Shaun C. Andrews,Executive Vice President and Chief Marketing Officer
lumn,Scott A. Trezise,Executive Vice President of Human Resources
lumn,Eric J. Mortensen,"Principal Accounting Officer, Senior Vice President and Controller"
lumn,Andrew Dugan,Chief Technology Officer
lumn,Valerie Finberg,Vice President of Investor Relations
lumn,Mark Stoutenberg,Senior Director of Investor Relations
lumn,Bryan Taylor,Vice President of Corporate Development
lyb,Bhavesh V. Patel,Chief Executive Officer and Director
lyb,Michael C. McMurray,"Executive Vice President, Chief Financial Officer and Principal Accounting Officer"
lyb,Jeffrey A. Kaplan,Executive Vice President and Chief Legal Officer
lyb,Torkel Rhenman,"Executive Vice President of Global Intermediates, Derivatives and Refining"
lyb,Kenneth Todd Lane,Executive Vice President of Global Olefins and Polyolefins
lyb,James Malcolm Seward,"Senior Vice President of Research & Development, Technology and Sustainability"
lyb,Kathy VanLandingham,Chief Information Officer
lyb,David Kinney,Head of Investor Relations
lyb,Dale Friedrichs,Senior Vice President of Human Resources and Global Projects
lyb,Michael D. VanDerSnick,Senior Vice President of Americas Manufacturing
mtb,Rene F. Jones CPA,Chairman and Chief Executive Officer
mtb,Richard S. Gold,"President, Chief Operating Officer and Director"
mtb,Darren J. King,Executive Vice President and Chief Financial Officer
mtb,Kevin J. Pearson,Vice Chairman and Director
mtb,Doris Powers Meister,Executive Vice President of Wealth and Institutional Services
mtb,Michael R. Spychala,"Senior Vice President, Controller and Principal Accounting Officer"
mtb,Donald J. MacLeod,"Administrative Vice President, Assistant Secretary and Director of IR"
mtb,Marianne E. Roche,Chief Regulatory Counsel and Enterprise Compliance Risk Manager
mtb,Laura P. O'Hara,Executive Vice President and General Counsel
mtb,Francesco Lagutaine,Senior Vice President and Chief Marketing and Communications Officer
mro,Lee M. Tillman,"Chairman, President and Chief Executive Officer"
mro,Dane E. Whitehead,Executive Vice President and Chief Financial Officer
mro,Patrick J. Wagner,Executive Vice President of Corporate Development and Strategy
mro,Michael A. Henderson,Executive Vice President of Operations
mro,Gary Eugene Wilson,"Vice President, Controller and Chief Accounting Officer"
mro,Bruce A. McCullough,Senior Vice President of Technology and Innovation and Chief Information Officer
mro,"Guy Allen Baber IV, CPA, CPA",Vice President of Investor Relations
