company_code,trading_date,current_stock_price,previous_closing_stock_price,stock_price_change,percentage_stock_price_change,opening_stock_price,stocks_day_range,day_trading_volume,fifty_two_week_range,analysts_forecast
ibm,April 27,$142.01,$141.57,0.44,0.31%,141.69,140.75 - 142.56,"3,169,926",103.03 - 144.74,"According to 15 analysts, the average rating for IBM stock is ""Hold."" The 12-month stock price forecast is 141.83, which is a decrease of -0.13% from the latest price."
ip,April 27,$57.09,$56.92,0.17,0.30%,56.22,56.07 - 57.40,"2,480,351",28.72 - 57.67,"According to 15 analysts, the average rating for IP stock is ""Hold."" The 12-month stock price forecast is 58.29, which is an increase of 2.10% from the latest price."
ipg,April 27,$29.84,$29.72,0.12,0.40%,29.64,29.38 - 30.02,"4,385,550",13.64 - 30.82,"According to 13 analysts, the average rating for IPG stock is ""Buy."" The 12-month stock price forecast is 28.76, which is a decrease of -3.62% from the latest price."
iff,April 27,$142.59,$144.50,-1.91,-1.32%,143.60,142.01 - 144.13,"1,388,581",98.29 - 145.53,"According to 18 analysts, the average rating for IFF stock is ""Buy."" The 12-month stock price forecast is 150.24, which is an increase of 5.37% from the latest price."
intu,April 27,$416.12,$418.29,-2.17,-0.52%,420.00,414.00 - 420.89,"619,454",256.18 - 423.13,"According to 23 analysts, the average rating for Intuit stock is ""Buy."" The 12-month stock price forecast is 451.14, which is an increase of 8.42% from the latest price."
isrg,April 27,$861.38,$865.94,-4.56,-0.53%,867.00,858.50 - 867.00,"442,571",492.00 - 893.79,"According to 20 analysts, the average rating for ISRG stock is ""Buy."" The 12-month stock price forecast is 871.13, which is an increase of 1.13% from the latest price."
ivz,April 27,$26.46,$26.53,-0.07,-0.26%,26.23,25.92 - 26.95,"4,742,365",6.18 - 27.08,"According to 18 analysts, the average rating for Invesco stock is ""Hold."" The 12-month stock price forecast is 27.46, which is an increase of 3.78% from the latest price."
ipgp,April 27,$229.95,$233.51,-3.56,-1.52%,234.06,227.98 - 234.06,"263,016",116.46 - 262.55,"According to 13 analysts, the average rating for IPG Photonics stock is ""Buy."" The 12-month stock price forecast is 284.60, which is an increase of 23.77% from the latest price."
iqv,April 27,$234.41,$233.42,0.99,0.42%,233.32,231.69 - 234.66,"1,339,881",128.52 - 235.51,"According to 21 analysts, the average rating for IQVIA Holdings stock is ""Buy."" The 12-month stock price forecast is 256.32, which is an increase of 9.35% from the latest price."
irm,April 27,$40.04,$40.08,-0.04,-0.10%,40.17,39.92 - 40.32,"1,320,977",19.86 - 40.92,"According to 8 analysts, the average rating for Iron Mountain stock is ""Buy."" The 12-month stock price forecast is 32.86, which is a decrease of -17.93% from the latest price."
jkhy,April 27,$163.51,$168.19,-4.68,-2.78%,168.80,163.17 - 169.58,"402,894",141.21 - 199.82,"According to 15 analysts, the average rating for JKHY stock is ""Hold."" The 12-month stock price forecast is 171.00, which is an increase of 4.58% from the latest price."
j,April 27,$136.71,$136.44,0.27,0.20%,136.53,135.41 - 137.12,"433,779",68.58 - 138.54,"According to 16 analysts, the average rating for J stock is ""Strong Buy."" The 12-month stock price forecast is 143.14, which is an increase of 4.70% from the latest price."
jbht,April 27,$169.64,$167.76,1.88,1.12%,168.43,168.13 - 170.40,"566,510",94.71 - 178.40,"According to 24 analysts, the average rating for J.B. Hunt stock is ""Buy."" The 12-month stock price forecast is 178.67, which is an increase of 5.32% from the latest price."
sjm,April 27,$131.04,$129.77,1.27,0.98%,129.78,129.67 - 131.11,"819,049",99.55 - 134.12,"According to 16 analysts, the average rating for J. M. Smucker stock is ""Hold."" The 12-month stock price forecast is 118.08, which is a decrease of -9.89% from the latest price."
jnj,April 27,$163.18,$164.12,-0.94,-0.57%,163.76,162.47 - 163.97,"4,983,194",131.91 - 172.57,"According to 19 analysts, the average rating for JNJ stock is ""Buy."" The 12-month stock price forecast is 186.80, which is an increase of 14.47% from the latest price."
jci,April 27,$63.40,$62.81,0.59,0.94%,62.87,62.65 - 63.70,"4,280,356",25.61 - 63.80,"According to 19 analysts, the average rating for JCI stock is ""Buy."" The 12-month stock price forecast is 65.73, which is an increase of 3.68% from the latest price."
jpm,April 27,$151.25,$150.56,0.69,0.46%,150.50,150.11 - 151.57,"10,467,559",79.81 - 160.74,"According to 27 analysts, the average rating for JPMorgan Chase stock is ""Buy."" The 12-month stock price forecast is 165.74, which is an increase of 9.58% from the latest price."
jnpr,April 27,$25.28,$25.56,-0.28,-1.10%,25.61,25.23 - 25.80,"6,952,744",19.17 - 27.59,"According to 22 analysts, the average rating for JNPR stock is ""Hold."" The 12-month stock price forecast is 25.00, which is a decrease of -1.11% from the latest price."
ksu,April 27,$299.42,$300.90,-1.48,-0.49%,300.15,299.41 - 301.15,"1,330,959",121.18 - 304.99,"According to 21 analysts, the average rating for KSU stock is ""Buy."" The 12-month stock price forecast is 276.36, which is a decrease of -7.70% from the latest price."
k,April 27,$62.13,$62.44,-0.31,-0.50%,62.35,61.93 - 62.44,"2,161,434",56.05 - 70.93,"According to 21 analysts, the average rating for Kellogg stock is ""Buy."" The 12-month stock price forecast is 65.06, which is an increase of 4.72% from the latest price."
key,April 27,$21.45,$21.27,0.18,0.85%,21.34,21.19 - 21.48,"6,250,976",8.60 - 21.61,"According to 22 analysts, the average rating for KeyCorp stock is ""Hold."" The 12-month stock price forecast is 22.42, which is an increase of 4.52% from the latest price."
keys,April 27,$148.39,$148.74,-0.35,-0.24%,149.00,147.00 - 149.78,"939,843",90.62 - 155.50,"According to 12 analysts, the average rating for KEYS stock is ""Buy."" The 12-month stock price forecast is 161.46, which is an increase of 8.81% from the latest price."
kmb,April 27,$129.45,$130.52,-1.07,-0.82%,130.09,129.03 - 130.17,"3,101,265",126.90 - 156.46,"According to 16 analysts, the average rating for Kimberly-Clark stock is ""Hold."" The 12-month stock price forecast is 143.06, which is an increase of 10.51% from the latest price."
kim,April 27,$20.76,$20.58,0.18,0.87%,20.63,20.44 - 21.06,"5,579,667",8.12 - 21.06,"According to 21 analysts, the average rating for Kimco Realty stock is ""Buy."" The 12-month stock price forecast is 20.22, which is a decrease of -2.60% from the latest price."
kmi,April 27,$17.00,$16.91,0.09,0.53%,16.99,16.91 - 17.16,"15,921,125",11.05 - 17.16,"According to 25 analysts, the average rating for Kinder Morgan stock is ""Buy."" The 12-month stock price forecast is 17.48, which is an increase of 2.82% from the latest price."
klac,April 27,$330.49,$335.81,-5.32,-1.58%,340.00,329.26 - 340.00,"681,546",145.24 - 359.69,"According to 20 analysts, the average rating for KLAC stock is ""Buy."" The 12-month stock price forecast is 347.41, which is an increase of 5.12% from the latest price."
khc,April 27,$40.10,$40.13,-0.03,-0.07%,40.20,40.07 - 40.53,"3,487,072",26.84 - 41.64,"According to 20 analysts, the average rating for Kraft Heinz stock is ""Buy."" The 12-month stock price forecast is 39.17, which is a decrease of -2.32% from the latest price."
kr,April 27,$36.77,$36.54,0.23,0.63%,36.51,36.53 - 36.99,"6,323,179",30.14 - 42.76,"According to 27 analysts, the average rating for Kroger stock is ""Buy."" The 12-month stock price forecast is 35.96, which is a decrease of -2.20% from the latest price."
lb,April 27,$67.59,$66.45,1.14,1.72%,66.58,66.42 - 68.29,"2,279,659",10.03 - 68.29,
lhx,April 27,$207.73,$207.65,0.08,0.04%,204.86,203.92 - 208.12,"1,094,500",156.56 - 212.21,"According to 20 analysts, the average rating for LHX stock is ""Buy."" The 12-month stock price forecast is 230.72, which is an increase of 11.07% from the latest price."
lh,April 27,$264.16,$264.65,-0.49,-0.19%,263.64,262.90 - 266.14,"368,382",153.72 - 266.42,"According to 18 analysts, the average rating for LabCorp stock is ""Buy."" The 12-month stock price forecast is 274.85, which is an increase of 4.05% from the latest price."
lrcx,April 27,$644.88,$643.17,1.71,0.27%,647.36,639.50 - 649.00,"894,247",226.77 - 669.00,"According to 25 analysts, the average rating for Lam Research stock is ""Buy."" The 12-month stock price forecast is 723.43, which is an increase of 12.18% from the latest price."
lw,April 27,$80.46,$81.61,-1.15,-1.41%,81.42,80.36 - 81.85,"812,353",51.20 - 86.41,"According to 8 analysts, the average rating for Lamb Weston stock is ""Buy."" The 12-month stock price forecast is 86.50, which is an increase of 7.51% from the latest price."
lvs,April 27,$60.73,$59.30,1.43,2.41%,59.30,58.93 - 61.15,"8,873,342",42.43 - 66.76,
leg,April 27,$50.91,$50.65,0.26,0.51%,50.69,50.30 - 51.13,"643,645",23.09 - 51.13,"According to 4 analysts, the average rating for LEG stock is ""Buy."" The 12-month stock price forecast is 46.75, which is a decrease of -8.17% from the latest price."
ldos,April 27,$100.27,$99.86,0.41,0.41%,100.05,99.70 - 100.91,"762,550",78.61 - 113.34,"According to 14 analysts, the average rating for LDOS stock is ""Buy."" The 12-month stock price forecast is 115.56, which is an increase of 15.25% from the latest price."
len,April 27,$103.43,$103.81,-0.38,-0.37%,104.65,103.10 - 105.47,"1,498,456",45.63 - 106.14,"According to 22 analysts, the average rating for Lennar stock is ""Buy."" The 12-month stock price forecast is 109.15, which is an increase of 5.53% from the latest price."
lly,April 27,$182.21,$187.22,-5.01,-2.68%,184.14,180.79 - 185.87,"6,165,850",128.01 - 217.09,"According to 20 analysts, the average rating for Eli Lilly stock is ""Buy."" The 12-month stock price forecast is 215.88, which is an increase of 18.48% from the latest price."
lnc,April 27,$64.55,$63.90,0.65,1.02%,63.86,63.57 - 64.61,"863,508",27.48 - 66.92,"According to 13 analysts, the average rating for LNC stock is ""Buy."" The 12-month stock price forecast is 64.54, which is a decrease of -0.02% from the latest price."
lin,April 27,$290.21,$289.52,0.69,0.24%,288.56,287.64 - 290.85,"1,199,796",169.94 - 292.49,"According to 21 analysts, the average rating for Linde stock is ""Buy."" The 12-month stock price forecast is 300.63, which is an increase of 3.59% from the latest price."
lyv,April 27,$82.28,$82.62,-0.34,-0.41%,83.03,82.06 - 83.37,"923,277",36.01 - 94.63,
lkq,April 27,$45.61,$45.04,0.57,1.27%,45.22,45.15 - 45.95,"1,573,539",21.42 - 45.95,"According to 12 analysts, the average rating for LKQ stock is ""Buy."" The 12-month stock price forecast is 48.75, which is an increase of 6.88% from the latest price."
lmt,April 27,$373.22,$371.98,1.24,0.33%,371.50,370.14 - 374.24,"1,157,715",317.38 - 409.07,"According to 20 analysts, the average rating for LMT stock is ""Buy."" The 12-month stock price forecast is 428.12, which is an increase of 14.71% from the latest price."
l,April 27,$55.56,$55.23,0.33,0.60%,55.02,54.87 - 55.65,"596,717",27.20 - 55.86,
low,April 27,$199.05,$199.19,-0.14,-0.07%,200.07,198.68 - 201.17,"2,905,700",101.27 - 208.37,"According to 32 analysts, the average rating for Lowe's stock is ""Buy."" The 12-month stock price forecast is 204.96, which is an increase of 2.97% from the latest price."
lumn,April 27,$12.95,$13.06,-0.11,-0.84%,13.02,12.88 - 13.16,"5,935,670",8.34 - 16.29,"According to 14 analysts, the average rating for LUMN stock is ""Hold."" The 12-month stock price forecast is 10.34, which is a decrease of -20.15% from the latest price."
lyb,April 27,$104.91,$104.94,-0.03,-0.03%,104.28,103.97 - 105.32,"792,523",48.12 - 112.73,"According to 20 analysts, the average rating for LYB stock is ""Hold."" The 12-month stock price forecast is 112.81, which is an increase of 7.53% from the latest price."
mtb,April 27,$156.78,$155.65,1.13,0.73%,155.66,154.29 - 156.83,"838,568",82.02 - 163.56,"According to 21 analysts, the average rating for M&T Bank stock is ""Hold."" The 12-month stock price forecast is 166.81, which is an increase of 6.40% from the latest price."
mro,April 27,$11.04,$10.78,0.26,2.41%,10.86,10.76 - 11.07,"15,808,166",3.71 - 13.29,
mpc,April 27,$53.89,$53.27,0.62,1.16%,53.46,53.13 - 54.06,"4,867,212",26.18 - 59.93,
mktx,April 27,$495.65,$505.21,-9.56,-1.89%,503.80,494.13 - 506.53,"210,364",433.38 - 605.75,"According to 15 analysts, the average rating for MKTX stock is ""Hold."" The 12-month stock price forecast is 560.17, which is an increase of 13.02% from the latest price."
mar,April 27,$149.74,$148.48,1.26,0.85%,148.96,148.19 - 150.35,"1,570,704",71.52 - 159.98,
mmc,April 27,$132.21,$127.20,5.01,3.94%,129.33,128.27 - 133.92,"2,179,777",91.91 - 133.92,"According to 19 analysts, the average rating for MMC stock is ""Hold."" The 12-month stock price forecast is 124.00, which is a decrease of -6.21% from the latest price."
mlm,April 27,$357.60,$357.47,0.13,0.04%,357.62,357.02 - 361.32,"238,221",150.53 - 361.32,"According to 20 analysts, the average rating for MLM stock is ""Buy."" The 12-month stock price forecast is 341.92, which is a decrease of -4.38% from the latest price."
mas,April 27,$63.57,$63.40,0.17,0.27%,63.45,63.15 - 64.10,"1,860,477",38.68 - 65.29,"According to 21 analysts, the average rating for Masco stock is ""Buy."" The 12-month stock price forecast is 66.67, which is an increase of 4.88% from the latest price."
ma,April 27,$389.07,$387.47,1.60,0.41%,388.22,386.14 - 390.43,"1,894,203",261.71 - 392.94,"According to 38 analysts, the average rating for Mastercard stock is ""Buy."" The 12-month stock price forecast is 407.45, which is an increase of 4.72% from the latest price."
mkc,April 27,$89.87,$90.35,-0.48,-0.53%,90.30,89.41 - 90.50,"956,885",75.08 - 104.05,"According to 12 analysts, the average rating for McCormick stock is ""Hold."" The 12-month stock price forecast is 92.94, which is an increase of 3.42% from the latest price."
mxim,April 27,$96.92,$97.67,-0.75,-0.77%,97.56,96.75 - 98.48,"1,817,038",50.01 - 98.48,"According to 17 analysts, the average rating for MXIM stock is ""Hold."" The 12-month stock price forecast is 91.50, which is a decrease of -5.59% from the latest price."
mcd,April 27,$234.98,$232.31,2.67,1.15%,232.66,232.41 - 235.63,"2,190,107",163.78 - 235.63,"According to 36 analysts, the average rating for McDonald's stock is ""Buy."" The 12-month stock price forecast is 247.32, which is an increase of 5.25% from the latest price."
mck,April 27,$189.33,$191.62,-2.29,-1.20%,191.01,187.71 - 191.02,"1,017,779",124.38 - 198.43,"According to 19 analysts, the average rating for McKesson stock is ""Buy."" The 12-month stock price forecast is 219.07, which is an increase of 15.71% from the latest price."
mdt,April 27,$129.97,$130.12,-0.15,-0.12%,129.37,128.90 - 130.39,"3,279,088",86.32 - 131.79,"According to 27 analysts, the average rating for Medtronic stock is ""Buy."" The 12-month stock price forecast is 134.31, which is an increase of 3.34% from the latest price."
mrk,April 27,$77.36,$77.53,-0.17,-0.22%,77.28,77.22 - 77.94,"7,422,207",71.09 - 85.73,"According to 23 analysts, the average rating for Merck stock is ""Buy."" The 12-month stock price forecast is 95.71, which is an increase of 23.72% from the latest price."
met,April 27,$63.36,$62.79,0.57,0.91%,62.80,62.76 - 63.42,"3,295,231",28.21 - 63.91,"According to 14 analysts, the average rating for MetLife stock is ""Buy."" The 12-month stock price forecast is 66.67, which is an increase of 5.22% from the latest price."
mtd,April 27,"$1,322.86","$1,312.90",9.96,0.76%,"1,313.91","1,305.79 - 1,329.06","80,199","661.32 - 1,339.38","According to 13 analysts, the average rating for Mettler-Toledo stock is ""Hold."" The 12-month stock price forecast is 1,176.27, which is a decrease of -11.08% from the latest price."
mgm,April 27,$42.20,$41.47,0.73,1.76%,41.56,41.30 - 42.45,"6,999,324",11.77 - 42.74,
mchp,April 27,$157.49,$159.16,-1.67,-1.05%,159.40,157.30 - 161.42,"1,102,226",79.08 - 166.25,"According to 24 analysts, the average rating for MCHP stock is ""Buy."" The 12-month stock price forecast is 171.14, which is an increase of 8.67% from the latest price."
mu,April 27,$89.46,$87.84,1.62,1.84%,89.30,88.03 - 90.19,"16,087,067",42.25 - 96.96,"According to 33 analysts, the average rating for MU stock is ""Buy."" The 12-month stock price forecast is 113.30, which is an increase of 26.65% from the latest price."
msft,April 27,$261.97,$261.55,0.42,0.16%,261.58,260.12 - 263.19,"22,528,922",170.15 - 263.19,"According to 36 analysts, the average rating for Microsoft stock is ""Strong Buy."" The 12-month stock price forecast is 276.77, which is an increase of 5.65% from the latest price."
maa,April 27,$155.19,$155.23,-0.04,-0.03%,155.44,154.57 - 155.67,"329,670",99.00 - 157.65,"According to 15 analysts, the average rating for MAA stock is ""Buy."" The 12-month stock price forecast is 147.23, which is a decrease of -5.13% from the latest price."
mhk,April 27,$208.36,$206.71,1.65,0.80%,206.03,205.58 - 209.80,"391,304",67.79 - 209.80,"According to 16 analysts, the average rating for MHK stock is ""Buy."" The 12-month stock price forecast is 202.18, which is a decrease of -2.97% from the latest price."
tap,April 27,$52.06,$52.94,-0.88,-1.66%,52.78,51.96 - 53.01,"1,216,267",32.11 - 56.10,
mdlz,April 27,$58.72,$58.77,-0.05,-0.09%,58.61,58.49 - 58.94,"6,501,173",47.71 - 59.98,"According to 22 analysts, the average rating for MDLZ stock is ""Buy."" The 12-month stock price forecast is 65.80, which is an increase of 12.06% from the latest price."
mpwr,April 27,$385.00,$389.53,-4.53,-1.16%,393.90,383.35 - 395.89,"195,064",179.66 - 406.03,"According to 14 analysts, the average rating for MPWR stock is ""Buy."" The 12-month stock price forecast is 430.00, which is an increase of 11.69% from the latest price."
mnst,April 27,$97.02,$97.14,-0.12,-0.12%,97.31,96.50 - 97.31,"1,063,604",58.73 - 99.24,"According to 18 analysts, the average rating for MNST stock is ""Buy."" The 12-month stock price forecast is 103.39, which is an increase of 6.57% from the latest price."
mco,April 27,$326.40,$325.28,1.12,0.34%,325.25,323.29 - 327.09,"1,059,759",233.16 - 329.04,"According to 15 analysts, the average rating for Moody's stock is ""Buy."" The 12-month stock price forecast is 335.46, which is an increase of 2.78% from the latest price."
ms,April 27,$81.96,$81.52,0.44,0.54%,81.41,81.20 - 82.05,"6,225,136",34.85 - 86.64,"According to 28 analysts, the average rating for Morgan Stanley stock is ""Buy."" The 12-month stock price forecast is 91.70, which is an increase of 11.88% from the latest price."
mos,April 27,$35.55,$34.78,0.77,2.21%,34.60,34.52 - 36.04,"7,922,500",9.47 - 36.04,
msi,April 27,$189.75,$190.20,-0.45,-0.24%,189.38,188.77 - 190.84,"645,201",122.25 - 192.84,"According to 13 analysts, the average rating for MSI stock is ""Buy."" The 12-month stock price forecast is 208.10, which is an increase of 9.67% from the latest price."
msci,April 27,$487.61,$487.00,0.61,0.13%,487.45,476.96 - 490.08,"409,584",297.32 - 490.19,"According to 12 analysts, the average rating for MSCI Inc. stock is ""Buy."" The 12-month stock price forecast is 485.13, which is a decrease of -0.51% from the latest price."
ndaq,April 27,$160.80,$160.03,0.77,0.48%,159.79,158.70 - 160.87,"663,285",102.81 - 163.27,"According to 19 analysts, the average rating for Nasdaq stock is ""Buy."" The 12-month stock price forecast is 172.63, which is an increase of 7.36% from the latest price."
ntap,April 27,$76.67,$77.15,-0.48,-0.62%,77.24,76.46 - 77.48,"950,354",38.41 - 78.77,"According to 26 analysts, the average rating for NetApp stock is ""Buy."" The 12-month stock price forecast is 77.33, which is an increase of 0.86% from the latest price."
nflx,April 27,$505.55,$510.30,-4.75,-0.93%,512.62,504.58 - 512.99,"3,484,897",393.60 - 593.29,"According to 41 analysts, the average rating for Netflix stock is ""Buy."" The 12-month stock price forecast is 609.95, which is an increase of 20.65% from the latest price."
nwl,April 27,$26.92,$26.72,0.20,0.75%,26.52,26.39 - 27.12,"1,975,725",10.62 - 27.43,
nem,April 27,$64.21,$65.28,-1.07,-1.64%,65.08,64.14 - 65.37,"3,738,775",51.28 - 70.77,"According to 21 analysts, the average rating for NEM stock is ""Buy."" The 12-month stock price forecast is 73.85, which is an increase of 15.01% from the latest price."
nwsa,April 27,$26.55,$26.66,-0.11,-0.41%,26.56,26.45 - 26.83,"2,407,370",9.10 - 27.68,
nws,April 27,$24.60,$24.82,-0.22,-0.89%,24.76,24.53 - 24.91,"316,449",9.38 - 25.64,
nee,April 27,$77.28,$77.93,-0.65,-0.83%,77.93,77.08 - 78.15,"4,559,464",54.53 - 87.23,"According to 21 analysts, the average rating for NextEra Energy stock is ""Buy."" The 12-month stock price forecast is 89.28, which is an increase of 15.53% from the latest price."
nlsn,April 27,$25.53,$25.44,0.09,0.35%,25.44,25.26 - 25.63,"8,078,400",11.66 - 26.74,"According to 11 analysts, the average rating for Nielsen stock is ""Buy."" The 12-month stock price forecast is 26.55, which is an increase of 4.00% from the latest price."
nke,April 27,$132.11,$131.60,0.51,0.39%,132.00,131.41 - 132.79,"5,145,889",83.38 - 147.65,"According to 34 analysts, the average rating for Nike stock is ""Buy."" The 12-month stock price forecast is 163.71, which is an increase of 23.92% from the latest price."
ni,April 27,$25.56,$25.67,-0.11,-0.43%,25.62,25.40 - 25.68,"3,974,296",20.87 - 26.51,
nsc,April 27,$281.85,$281.14,0.71,0.25%,282.68,280.67 - 283.49,"869,782",155.42 - 285.12,"According to 27 analysts, the average rating for NSC stock is ""Buy."" The 12-month stock price forecast is 276.55, which is a decrease of -1.88% from the latest price."
ntrs,April 27,$111.18,$109.16,2.02,1.85%,108.67,108.17 - 111.38,"822,987",65.36 - 111.38,"According to 18 analysts, the average rating for Northern Trust stock is ""Hold."" The 12-month stock price forecast is 115.60, which is an increase of 3.98% from the latest price."
noc,April 27,$339.87,$337.80,2.07,0.61%,337.39,336.03 - 340.87,"738,169",281.52 - 350.43,"According to 19 analysts, the average rating for NOC stock is ""Buy."" The 12-month stock price forecast is 370.11, which is an increase of 8.90% from the latest price."
nlok,April 27,$22.48,$22.61,-0.14,-0.60%,22.52,22.40 - 22.78,"3,278,122",17.87 - 24.09,"According to 14 analysts, the average rating for NortonLifeLock stock is ""Buy."" The 12-month stock price forecast is 25.54, which is an increase of 13.64% from the latest price."
nclh,April 27,$30.50,$30.22,0.28,0.93%,30.24,29.76 - 30.55,"10,639,568",9.24 - 34.48,
nov,April 27,$13.58,$13.48,0.10,0.74%,13.43,13.16 - 13.62,"5,985,715",7.70 - 17.50,"According to 25 analysts, the average rating for NOV stock is ""Buy."" The 12-month stock price forecast is 15.83, which is an increase of 16.57% from the latest price."
nrg,April 27,$36.18,$37.26,-1.08,-2.90%,37.11,36.06 - 37.11,"1,965,164",27.73 - 44.08,"According to 9 analysts, the average rating for NRG Energy stock is ""Buy."" The 12-month stock price forecast is 45.00, which is an increase of 24.38% from the latest price."
nue,April 27,$80.69,$80.60,0.09,0.11%,80.28,80.01 - 81.56,"3,982,683",34.64 - 82.47,"According to 11 analysts, the average rating for Nucor stock is ""Hold."" The 12-month stock price forecast is 73.73, which is a decrease of -8.63% from the latest price."
nvda,April 27,$615.27,$619.12,-3.85,-0.62%,623.23,614.18 - 626.82,"3,818,004",280.45 - 648.57,"According to 38 analysts, the average rating for NVIDIA stock is ""Buy."" The 12-month stock price forecast is 661.61, which is an increase of 7.53% from the latest price."
nvr,April 27,"$4,978.81","$4,929.53",49.28,1.00%,"4,938.50","4,863.40 - 5,023.00","27,868","2,660.00 - 5,028.85","According to 5 analysts, the average rating for NVR, Inc. stock is ""Buy."" The 12-month stock price forecast is 5,526.25, which is an increase of 11.00% from the latest price."
nxpi,April 27,$203.40,$205.02,-1.62,-0.79%,207.78,202.46 - 209.19,"2,570,542",88.03 - 216.43,"According to 28 analysts, the average rating for NXPI stock is ""Buy."" The 12-month stock price forecast is 212.00, which is an increase of 4.23% from the latest price."
orly,April 27,$532.65,$526.19,6.46,1.23%,528.71,527.43 - 534.65,"309,977",373.14 - 539.82,"According to 24 analysts, the average rating for ORLY stock is ""Buy."" The 12-month stock price forecast is 552.88, which is an increase of 3.80% from the latest price."
oxy,April 27,$25.09,$24.90,0.19,0.76%,25.11,24.65 - 25.40,"12,877,606",8.51 - 32.51,"According to 26 analysts, the average rating for OXY stock is ""Hold."" The 12-month stock price forecast is 29.57, which is an increase of 17.86% from the latest price."
odfl,April 27,$258.36,$253.49,4.87,1.92%,254.91,254.10 - 258.69,"513,259",141.63 - 259.47,"According to 18 analysts, the average rating for ODFL stock is ""Hold."" The 12-month stock price forecast is 260.80, which is an increase of 0.94% from the latest price."
omc,April 27,$81.25,$80.74,0.51,0.63%,80.17,79.79 - 81.37,"1,880,450",43.64 - 81.85,"According to 13 analysts, the average rating for Omnicom Group stock is ""Hold."" The 12-month stock price forecast is 78.17, which is a decrease of -3.79% from the latest price."
oke,April 27,$50.88,$50.46,0.42,0.83%,50.51,50.37 - 51.04,"2,364,717",21.66 - 51.80,"According to 23 analysts, the average rating for ONEOK stock is ""Hold."" The 12-month stock price forecast is 49.16, which is a decrease of -3.38% from the latest price."
orcl,April 27,$75.22,$74.50,0.72,0.97%,74.39,74.22 - 75.43,"8,349,745",50.03 - 80.21,"According to 28 analysts, the average rating for Oracle stock is ""Buy."" The 12-month stock price forecast is 71.97, which is a decrease of -4.32% from the latest price."
otis,April 27,$79.00,$76.27,2.73,3.58%,76.50,76.12 - 79.26,"6,143,915",46.59 - 79.26,"According to 11 analysts, the average rating for Otis Worldwide stock is ""Buy."" The 12-month stock price forecast is 77.22, which is a decrease of -2.25% from the latest price."
pcar,April 27,$91.28,$93.34,-2.06,-2.21%,92.68,90.30 - 93.41,"2,691,199",63.07 - 102.85,"According to 19 analysts, the average rating for PACCAR Inc stock is ""Buy."" The 12-month stock price forecast is 99.44, which is an increase of 8.94% from the latest price."
pkg,April 27,$144.77,$143.15,1.62,1.13%,142.00,141.20 - 147.17,"593,959",84.34 - 147.17,"According to 14 analysts, the average rating for PKG stock is ""Hold."" The 12-month stock price forecast is 136.70, which is a decrease of -5.57% from the latest price."
ph,April 27,$319.54,$319.13,0.41,0.13%,319.49,317.33 - 321.00,"760,843",138.42 - 323.80,"According to 21 analysts, the average rating for PH stock is ""Buy."" The 12-month stock price forecast is 343.63, which is an increase of 7.54% from the latest price."
payx,April 27,$99.12,$98.85,0.27,0.27%,98.51,98.13 - 99.22,"1,191,603",58.63 - 101.15,"According to 22 analysts, the average rating for Paychex stock is ""Hold."" The 12-month stock price forecast is 98.07, which is a decrease of -1.06% from the latest price."
payc,April 27,$400.24,$400.96,-0.72,-0.18%,403.03,396.86 - 404.77,"244,465",233.27 - 471.08,"According to 15 analysts, the average rating for PAYC stock is ""Buy."" The 12-month stock price forecast is 460.46, which is an increase of 15.05% from the latest price."
pypl,April 27,$268.82,$271.72,-2.90,-1.07%,272.05,268.03 - 273.82,"3,791,501",118.65 - 309.14,"According to 45 analysts, the average rating for PayPal stock is ""Buy."" The 12-month stock price forecast is 310.53, which is an increase of 15.52% from the latest price."
penn,April 27,$92.65,$90.28,2.37,2.63%,93.75,92.09 - 96.24,"4,833,035",14.31 - 142.00,
pnr,April 27,$64.08,$64.09,-0.01,-0.02%,63.79,63.47 - 64.34,"1,493,233",31.03 - 65.83,"According to 19 analysts, the average rating for Pentair stock is ""Buy."" The 12-month stock price forecast is 68.13, which is an increase of 6.32% from the latest price."
pbct,April 27,$18.26,$18.18,0.08,0.44%,18.13,18.01 - 18.28,"2,742,782",9.45 - 19.40,"According to 15 analysts, the average rating for PBCT stock is ""Hold."" The 12-month stock price forecast is 18.40, which is an increase of 0.77% from the latest price."
pep,April 27,$142.89,$143.36,-0.47,-0.33%,142.62,142.13 - 143.18,"3,389,101",123.75 - 147.80,"According to 22 analysts, the average rating for PepsiCo stock is ""Buy."" The 12-month stock price forecast is 154.78, which is an increase of 8.32% from the latest price."
pki,April 27,$135.01,$134.98,0.03,0.02%,135.44,134.64 - 135.87,"868,272",85.52 - 162.54,"According to 16 analysts, the average rating for PerkinElmer stock is ""Buy."" The 12-month stock price forecast is 160.93, which is an increase of 19.20% from the latest price."
prgo,April 27,$41.33,$42.47,-1.14,-2.68%,42.01,41.32 - 42.27,"916,136",37.98 - 57.97,
pfe,April 27,$38.45,$38.68,-0.23,-0.59%,38.40,38.35 - 38.61,"15,543,035",30.65 - 42.62,"According to 21 analysts, the average rating for Pfizer stock is ""Buy."" The 12-month stock price forecast is 40.69, which is an increase of 5.83% from the latest price."
