id,internationalSecNumber,symbol,marketCap,sharesOutstanding,sector,subSector,companyName,marketClassification,dateListed,dateOfIncorporation,website,natureofBusiness,companyAddress,telephone,fax,email,companySecretary,auditor,registrars,boardOfDirectors
118,NGPRESTIGE00,PRESTIGE,,13252561890.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",PRESTIGE ASSURANCE PLC,Main Board,1990-12-03T00:00:00,1970-01-06T00:00:00,wwwprestigeassuranceplc.com,Non-Life Insurance Business,19 LIGALI AYORINDE STREET VICTORIA ISLAND LAGOS,2347098820692,23412713712,info@prestigeassuranceplc.com,Abayomi Odulana,Ernst &amp; young,,"Adedoyin Salami, Anjay Dey, Atul Sahai, Funmi Oyetunji, Gopalan Raghu, Olakunle Oyegunle, Sarbeswar Sahoo"
119,NGRTBRISCOE9,RTBRISCOE,,1176356880.0,SERVICES,Automobile/Auto Part Retailers,R T BRISCOE PLC.,Main Board,1974-03-15T00:00:00,1957-03-09T00:00:00,www.rtbriscoe.com,"Sales and Service of Toyota and Ford Motor Vehicle and Technical Equipment,Mining and Drilling Equipment and Generating Sets","18 Fatai Atere Way, Matori-Mushin, Lagos",+23412790757,+23412793216,briscoemail@rtbriscoe.com,Olukayode Adeoluwa &amp; Co.,Akintola Williams Deloitte (Chartered Accountants),Meristem Registrars and Probate Services Limited,
120,NGRAKUNITY02,RAKUNITY,,56624533.0,OIL AND GAS,Petroleum and Petroleum Produc,RAK UNITY PET. COMP. PLC.,ASeM,,1982-12-20T00:00:00,,Marketing of Petroleum Products,"BLOCK 5, WATER CORPORATION ROAD, IJORA GRA LAGOS",2704833,,info@rakunity.com,ALSEC NOMINEES LIMITED,Akintola Williams Delloitte,FIRST REGISTRARS NIGERIA LIMITED,
121,NGREDSTAREX9,REDSTAREX,,926352051.0,SERVICES,Courier/Freight/Delivery,RED STAR EXPRESS PLC,Main Board,2007-11-14T00:00:00,1992-07-10T00:00:00,www.redstarplc.com,"Courier Services, Freight Services, Logistics, warehousing and General Haulage ","70 International Airport Road, Lagos",2715670,4976612,enquiries@redstarplc.com,Frances Ndidi Akpomuka,Ernst &amp; Young,United Securities Limited,
122,NGREGALINS04,REGALINS,,6668750000.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",REGENCY ASSURANCE PLC,Main Board,,1993-06-16T00:00:00,www.regencyalliance.com,General Insurance Business,"2EBUN STREET GBAGADA ESTATE,LAGOS",08053499073,REGENCY ALLIANCE INSURANCE PLC. 029200357C5T3AH2F910,info@regencyalliance.com,ANU SHOBO,TAC PROFESSIONAL SERVICES,Meristem Registrars Limited,
123,NGRESORTSAL1,RESORTSAL,,11329732404.0,FINANCIAL SERVICES,"""Mortgage Carriers, Brokers an",RESORT SAVINGS & LOANS PLC,Main Board,,1992-06-17T00:00:00,www.resortng.com,Provision of Mortgage Banking and other BANKING to corproate and individual customers ,"25 OLOWU STREET, OFF OBAFEMI AWOLOWO WAY, IKEJA,  LAGOS",234014622081,23401462 2083,resort@resortng.com,S. E. NOMUOJA &amp; CO ,BBC Professional,Africa Prudential Registrars Plc,
124,NGROADS00004,ROADS,,25000000.0,CONSTRUCTION/REAL ESTATE,Infrastructure/Heavy Construct,ROADS NIG PLC.,Main Board,,1974-10-11T00:00:00,,"Building & Civil Engineering Contractors, Construction of Roads, Bridges, Airfield and Dams",,,,,,,,
125,NGROYALEX007,ROYALEX,,5145370074.0,FINANCIAL SERVICES,Other Financial Institutions,ROYAL EXCHANGE PLC.,Main Board,1990-12-03T00:00:00,1921-02-28T00:00:00,www.royalexchangeplc.com,"General Business, Healthcare Insurance, Life Assurance, Finance & Investment, Microfinance Banking and Wealth Management","New Africa House, 31 Marina, Lagos",7611150,,info@royalexchangeplc.com,Ms. Sheila Ezeuko,"Akintola Williams Deloitte, KPMG Professional Services",City Securities (Registrars) Limited,
126,NGSCOA000009,SCOA,,649825665.0,CONGLOMERATES,Diversified Industries,S C O A  NIG. PLC.,Main Board,,1969-06-24T00:00:00,www.scoaplc.com,"Automobile Sales, Maintenance, distribution and Leasing, Manufacturing, Technical Sales and Services, General Merchandising, Power Generation, Furniture and Agriculture, Production of foods and fruit juices","157, APAPA/OSHODI EXPRESSWAY, ISOLO",08023085561,01-4521683,cs@scoaplc.com,MICHAEAL ADEKUNLE ADEYEMI,ERNST &amp; YOUNG,AFRICA PRUDENTIAL REGISTRARS PLC,
127,NGNSLTECH006,NSLTECH,,5631540000.0,SERVICES,Specialty,SECURE ELECTRONIC TECHNOLOGY PLC,Main Board,,2000-01-03T00:00:00,www.setplc.com,"Operations of Lottery Business, AirtimeVending Revenue Colelction, Card Payments and treasury/Assets Management","107 , BAMGBOSE STREET, LAGOS ISLAND, LAGOS STATE",2348168061026,,info@setplc.com,IMMACULATA AMAKA MBASO,SULAIMON &amp; CO,PAC REGISTRARS LIMITED,
128,NGSEPLAT0008,SEPLAT,,588444561.0,OIL AND GAS,Exploration and Production,SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC,Premium Board,,2009-06-17T00:00:00,www.seplatpetroleum.com,PETROLEUM EXPLORATION AND PRODUCTION,"16a Temple Road (Olu Holloway) Ikoyi, Lagos.",012770400,029200711C4S4CB2E982,info@seplatpetroleum.com,Mrs. Edith Onwuchekwa,Messrs Ernst &amp; Young Nigeria,DataMax Registrars Limited,"AMBROISE BRYANT CHUKWUELOKA  ORJIAKO, ARUNMA OTEH, OON, AUSTIN AVURU, BASIL OMIYI, CHARLES OKEAHALAM, DAMIAN DODO, SAN, EFFIONG OKON, EMEKA ONWUKA, MARK MALLOCH-BROWN, NATHALIE DELAPALME, OLIVIER DE LANGAVANT, ROGER  BROWN, XAVIER ROLET, KBE"
129,NGSKYESHELT8,SFSREIT,,20000000.0,CONSTRUCTION/REAL ESTATE,Real Estate Investment Trusts,SFS REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trust & Close End Fund,,,sfsreit.com,Closed-ended Real Estate Investment Trust (REIT),287 Ajose Adeogun street,07017306316,,sfsreit@sfsnigeria.com,,Dele Olufon &amp; Co,,
130,NGSKYESHELT8,SFSREIT,,20000000.0,CONSTRUCTION/REAL ESTATE,Real Estate Investment Trusts,SFS REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trust & Close End Fund,2008-02-26T00:00:00,,,Closed-ended Real Estate Investment Trust (REIT),,,,,,,,
131,NGSKYAVN0003,SKYAVN,,1353580000.0,SERVICES,Transport-Related Services,SKYWAY AVIATION HANDLING COMPANY PLC,Main Board,2019-04-26T00:00:00,2009-04-22T00:00:00,www.sahcoplc.com,Aviation Support Services,"SAHCO Complex, Cargo Terminal, Murtala Muhammed International Airport.",+2348155553455,,info@sahcoplc.com,Omolara Bello,Gbenga Badejo &amp; Co. (Chartered Accountants),First Registrars &amp; Investor Services Limited.,
132,NGSMURFIT002,SMURFIT,,45000000.0,CONSTRUCTION/REAL ESTATE,Property Management,SMART PRODUCTS NIGERIA PLC,ASeM,,1966-11-01T00:00:00,www.smartproductsnig.com  ,PROPERTY LETTING,"373, AGEGE MOTOR ROAD, CHALLENGE MUSHIN, LAGOS",08034538706,,smartproductsnigplc@yahoo.com,,BAKER TILLY NIGERIA,,
133,NGSOVRENINS5,SOVRENINS,,11364466014.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",SOVEREIGN TRUST INSURANCE PLC,Main Board,2006-11-29T00:00:00,1980-02-26T00:00:00,www.stiplc.com,General Insurance Business,"17, Adetokunbo Ademola Street, Victoria Island, Lagos",23414615006,,enquiries@stiplc.com,EQUITY UNION LIMITED,ERNST &amp; YOUNG ,Meristem Registrars Limited,
134,NGSTACO00002,STACO,,9341087609.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",STACO INSURANCE PLC,Main Board,,1991-07-10T00:00:00,www.stacoplc.com,General Insurance & Special Risk,"209, Herbert Macaulay Way, Yaba, Lagos",2348150970457,3425466,info@stacoplc.com,TAIWO OGUNBAJO,ABAYOMI DOSUNMU &amp; CO,FIRST REGISTRARS NIGERIA LIMITED,
135,NGSTANBIC003,STANBIC,,11105997568.0,FINANCIAL SERVICES,Other Financial Institutions,STANBIC IBTC  HOLDINGS PLC,Main Board,2012-11-23T00:00:00,2012-03-14T00:00:00,www.stanbicibtc.com,Financial Services,"I.B.T.C. Place, Walter Carrignton Crescent, Victoria Island, Lagos, Nigeria",23414488900,23412806998,chidi.okezie@stanbicibtc.com,Chidi Okezie,KPMG Professional Services,First Registrars Nigeria Ltd,Demola  Sogunle
136,NGSTDINSURE7,STDINSURE,,12911030586.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",STANDARD ALLIANCE INSURANCE PLC.,Main Board,2003-12-19T00:00:00,1981-07-28T00:00:00,www.sainsuranceng.com,Composite (Life & Non-Life Insurance Businesses),"Plot 1, block 94, providence Street, Lekki Phase 1, Lekki, Lagos",0700467872623,,info@sainsuranceng.com,URUEMUESIRI OGHEN,BDO Professional Services,First Registrars &amp; Investor Services Limited,
137,NGSTERLNBNK7,STERLNBANK,,28790418126.0,FINANCIAL SERVICES,Banking,STERLING BANK PLC.,Main Board,1993-08-17T00:00:00,1960-11-25T00:00:00,www.sterling.ng,Commercial Banking,"Sterling Towers, 20 Marina, Lagos",7003270,,customercare@sterling.ng,Mrs Temitayo Adegoke,"Deloitte &amp;Touche, Ernst &amp; Young",Pace Registrars Limited,
138,NGSTUDPRESS1,STUDPRESS,,594885713.0,SERVICES,Printing/Publishing,STUDIO PRESS (NIG) PLC.,Main Board,1979-09-13T00:00:00,1965-07-09T00:00:00,www.studio-press.net,"Lithograghic Printing, Manufacturing of Cartoons, light packaging Materials like Labels and Flexo Printing ","ISRAEL ADEBAJO CLOSE, INDUSTRIAL ESTATE, IKEJA, LAGOS.",23417930001,STUDIO PRESS NIGERIA PLC 029200485E7OF4H75E77   ,mail@studio-press.net,CAUTIOUS SERVICES LIMITED,Ernst &amp; Young ,STERLING REGISTRARS LIMITED,Bamidele Bello
139,NGSUNUASSUR6,SUNUASSUR,,5810800000.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",SUNU ASSURANCES NIGERIA PLC.,Main Board,,1984-12-13T00:00:00,www.sunu-group.com,General Insurance,"Plot, 1196, Bishop Oluwole Street, Victoria Island, Lagos",012802012,029200853F4O4D5E7E34,nigeria@sunu-group.com,JOHN AKUJIEZE,SIAO PARTNERS,EDC REGISTRARS LIMITED,
140,NGTANTALIZE1,TANTALIZER,,3211627907.0,SERVICES,Hospitality,TANTALIZERS PLC,Main Board,,1997-05-04T00:00:00,,Manufacturing and Sale of food and Drinks,,,,,,Farinde Olateju &amp; co,,
141,NGINITSPLC05,INITSPLC,,889981552.0,SERVICES,Waste Management,THE INITIATES PLC,Growth Board,2016-10-25T00:00:00,1995-03-03T00:00:00,www.initiatesgroup.com,WASTE MANAGEMENT,"PLOT 400,LOCATION(NEW) ROAD, OFF ABA/PH EXPRESSWAY BY OYIGBO JUNCTION, UMUEBULE 5",084669510,,wms@initiatesgroup.com,OLAIDE ODEJOBI,"Madu,Onyekwena&amp;Co.",APEL CAPITAL AND REGISTRARS LIMITED,
142,NGTHOMASWY07,THOMASWY,,220000000.0,NATURAL RESOURCES,Paper/Forest Products,THOMAS WYATT NIG. PLC.,Main Board,1978-10-26T00:00:00,1948-03-18T00:00:00,www.thomaswyattplc.com,"Manufacturing and Distribution of school exercise books, hard cover note books and pads, drawing books, envelopes, etc","10, Abebe Village Road, Iganmu, Lagos",017613397,,corporateservices@thomaswyattplc.com,Doris Aidoghie,BBC Professionals,MERISTEM REGISTRARS LIMITED ,
143,NGTOTAL00001,TOTAL,,339521837.0,OIL AND GAS,Petroleum and Petroleum Produc,TOTAL NIGERIA PLC.,Main Board,,1956-01-06T00:00:00,www.total.com.ng,Marketing of Petroleum Products,"Total House 4 Churchgate Street, Victoria Island, Lagos",014631681,014619185,info@total.com.ng,Bunmi Popoola-Mordi,KPMG Professional Services,CardinalStone Registrars Limited,
144,NGTOURIST009,TOURIST,,2246437472.0,SERVICES,Hotels/Lodging,TOURIST COMPANY OF NIGERIA PLC.,Main Board,,1964-10-04T00:00:00,,"Operation of Hotel, Casino and  the provision of Catering Service",,,,,,KPMG Professional Services,,
145,NGTRANSEXPR4,TRANSEXPR,,468847132.0,SERVICES,Courier/Freight/Delivery,TRANS-NATIONWIDE EXPRESS PLC.,Main Board,1992-09-07T00:00:00,1984-03-28T00:00:00,www.tranex-ng.com,Courier and Associated Services,"PLOT 28, OSHODI / APAPA EXPRESSWAY, OSHODI, LAGOS","09095270137,08025697917,07046182356,0812368257309070360002",,finance@tranex-ng.com,CAUTIOUS SERVICES LIMITED,HLB Z.O. OSOSANYA &amp; CO (CHARTERED ACCOUNTANTS),CARDINALSTONE REGISTRARS LIMITED,
146,NGTRANSHOTL1,TRANSCOHOT,,10242528411.0,SERVICES,Hotels/Lodging,TRANSCORP HOTELS PLC,Main Board,2015-01-15T00:00:00,1994-07-12T00:00:00,,HOSPITALITY AND TOURISM,,,,,,,,
147,NGTRANSCORP7,TRANSCORP,,40647990293.0,CONGLOMERATES,Diversified Industries,TRANSNATIONAL CORPORATION OF NIGERIA PLC,Main Board,,2004-11-16T00:00:00,www.transcorpnigeria.com,"The investment in and operation of portfolio of companies in hospitality, energy, agriculture, oil and gas sectors","38, Glover Road (formerly 22B), Ikoyi, Lagos",019033946,,info@transcorpnigeria.com,Chinedu N. Eze,PricewaterhouseCoopers,Africa Prudential Registrars,
148,NGTRIPPLEG04,TRIPPLEG,,494954000.0,ICT,IT Services,TRIPPLE GEE AND COMPANY PLC.,Main Board,,1980-04-14T00:00:00,www.tripplegee.ng,"Printers of Security Documents, Financial Instruments, Computer Stationery, Self Adhesive Labels and Telephone Recharge Cards","9  KAREEM GIWA STREET, ABULE OSUN. LAGOS",08055190722,,contact@tripplegee.com,"ADENIKE ONASANYA, LIVINGSTONE ATTORNEYS, MELVINE NOMINEES NIG LTD",OLUSOLA OLOJEDE &amp; CO,GTL REGISRARS LTD,
149,NGUACN000006,UACN,,2881296580.0,CONGLOMERATES,Diversified Industries,U A C N  PLC.,Main Board,,1931-04-22T00:00:00,www.uacnplc.com,"Foods, Real Estate, Logistics and Paints","UAC House 1-5 Odunlami Street, Lagos",08035739791,0292002296E7G4H6E736,info@uacnplc.com,Godwin Samuel ,"PricewaterhouseCoopers , PricewaterhouseCoopers "," Africa Prudential Registrars Plc , UAC Registrars Limited",
150,NGUACPROP006,UAC-PROP,,18559969936.0,CONSTRUCTION/REAL ESTATE,Real Estate Development,UACN PROPERTY DEVELOPMENT COMPANY PLC,Main Board,,1997-10-06T00:00:00,www.updcplc.com,"Acquisition, development, sales and management of high quality, serviced, commercial and residential properties in the luxury, premium and classic segments of the real estate market","UAC House, 1st Floor, 1-5, OdunlamiStreet, Lagos",+2348060010707,,fkalaro@updcplc.com,Folake Kalaro,PricewaterhouseCoopers Chartered Accountants,uac registrar limited,
151,NGUNIC000008,UNIC,,2582296000.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",UNIC DIVERSIFIED HOLDINGS PLC.,Main Board,,1965-04-02T00:00:00,,"General, Life and health Insurance Business including BANKING",,,,,,,,
152,NGUNILEVER07,UNILEVER,,5745005417.0,CONSUMER GOODS,Personal/Household Products,UNILEVER NIGERIA PLC.,Main Board,1973-04-01T00:00:00,1923-11-04T00:00:00,www.unilevernigeria.com,"Manufacturing and Marketing of  consumer goods in the Foods & Refreshments, Home Care, and Beauty & Personal Care categories ","1 Billingsway Oregun, Ikeja, Lagos",2793000,,Bidemi.Ademola@unilever.com,Abidemi Ademola (Mrs),KPMG Professional Services,Greenwich Registrars and Data Solutions Ltd.,"Jaime  Aguilera, Michael Ikpoki"
153,NGUBN0000004,UBN,,29120752788.0,FINANCIAL SERVICES,Banking,UNION BANK NIG.PLC.,Main Board,,1969-05-30T00:00:00,www.unionbankng.com,Commercial Banking,Stallion Plaza 36 Marina Lagos ,23412716800,,investorrelations@unionbankng.com,Somuyiwa Adedeji Sonubi,"Ernst &amp; Young, KPMG Professional Services",CardinalStone Registrars Limited,"Adekunle SONOLA, Emeka OGBECHIE, Emeka Emuwa, Emeka OKONKWO, Ian CLYNE, Joseph MBULU, Kenroy DOWERS, Mark PATTERSON, Obafunke ALADE-ADEYEFA, Omolola CARDOSO, Paul KOKORICHA, Richard BURRETT, Taimoor LABIB"
154,NGUNIONDAC06,UNIONDAC,,3553138530.0,HEALTHCARE,Healthcare Providers,UNION DIAGNOSTIC & CLINICAL SERVICES PLC,Main Board,,1999-03-16T00:00:00,www.uniondiagnostic.com.ng,Diagnostic & Clinical ,"NO 5, ELETU OGABI STREET, VICTORIA ISLAND, LAGOS.",012805577,,info@uniondiagnostic.com.ng,MR IROYE OPEYEMI SAMUEL,EJIGEME ANDREW &amp; CO.,FIRST REGISTRARS NIGERIA LTD,
155,NGUNIONDICO1,UNIONDICON,,273338776.0,CONSUMER GOODS,Food Products,UNION DICON SALT PLC.,Main Board,1993-09-23T00:00:00,1991-11-12T00:00:00,www.udsplc.com,Processing of Crude Salt,"Kirikiri Lighter Terminal, Phase 2, Kirikiri, Lagos",08034917292,,info@udsplc.com,Mrs Florence Iroye,BDO Professional Services,Centurion Registrars Limited,
156,NGUHOMREIT06,UHOMREIT,,250019781.0,CONSTRUCTION/REAL ESTATE,Real Estate Investment Trusts,UNION HOMES REAL ESTATE INVESTMENT TRUST (REIT),Real Estate Investment Trust & Close End Fund,2008-02-05T00:00:00,,www.unionhomesreit.com,REAL ESTATE INVESTMENT ,32 Awolowo Road ikoyi Lagos,08053159603,,info@unionhomesreit.com,,Baker Tilly Nigeria (Chartered Accountants),GTL Registrars,
157,NGUNHOMES007,UNHOMES,,976562505.0,FINANCIAL SERVICES,"""Mortgage Carriers, Brokers an",UNION HOMES SAVINGS AND LOANS PLC.,Main Board,2006-04-24T00:00:00,1992-11-06T00:00:00,www.unionhomes.com.ng,Mortgage Banking,153 Ikorodu Road Onipanu Lagos,08023083004,,cogeorge@unionbankng.com,Carol George,KPMG Professional Services,Union Registrars Limited,
158,NGUBA0000001,UBA,,34199421368.0,FINANCIAL SERVICES,Banking,UNITED BANK FOR AFRICA PLC,Premium Board,1970-03-31T00:00:00,1961-02-23T00:00:00,www.ubagroup.com,Commercial Banking,"57 Marina, Lagos",23416319822,23412808448,CFC@ubagroup.com,BILI ANDREW ODUM,PricewaterhouseCoopers,AFRICA PRUDENTIAL REGISTRARS,"AMB. JOE KESHI (OON) , High Chief Samuel Oni, FCA , MR. TONY O. ELUMELU, CON , MRS. OWANARI DUKE "
159,NGUCAP000004,UCAP,,6000000000.0,FINANCIAL SERVICES,Other Financial Institutions,UNITED CAPITAL PLC,Main Board,2013-01-13T00:00:00,2002-03-14T00:00:00,www.unitedcapitalplcgroup.com,"INVESTMENT BANKING, TRUSTEES, ASSET MANAGEMENT & STOCKBROKING","AFRILAND TOWERS, 95/107, BROAD STREET,, LAGOS",016317872,NIL,info@unitedcapitalplcgroup.com,LEO OKAFOR,PRICEWATERHOUSECOOPERS,AFRICA PRUDENTIAL PLC,
160,NGUNITYBANK3,UNITYBNK,,11689337942.0,FINANCIAL SERVICES,Banking,UNITY BANK PLC,Main Board,,1987-04-27T00:00:00,www.unitybankng.com,Commercial Banking,"Plot 42, Ahmed Onibudo Street, Victoria Island, Lagos",07080666030,,we_care@unitybankng.com,Adejumobi Alaba Williams ,KPMG Professional Services,Unity Registrars Limited,
161,NGUNIVINSUR9,UNIVINSURE,,16000000000.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",UNIVERSAL INSURANCE PLC,Main Board,2009-11-02T00:00:00,1961-03-01T00:00:00,www.universalinsuranceplc.com,General Insurance,"8, Gbagada Expressway, Anthony, Lagos",012934645,029200415C4Q72E8HC32,info@universalinsuranceplc.com,"Chinedu Anthony Onyilimba, Esq.","Ukwuegbu, Ogbeleje &amp; Co. (Chartered Accountants)",Mainstreet Registrars (formerlyAfribank Registrars),
162,NGUPL0000008,UPL,,431409504.0,SERVICES,Printing/Publishing,UNIVERSITY PRESS PLC.,Main Board,1978-08-14T00:00:00,1978-08-14T00:00:00,www.universitypressplc.com,"Publishing, distribution and sales of books and educational materials ","Three Crowns Building, Jericho, Ibadan",+23428738896,,unipress@universitypressplc.com,Ganiyu Adebowale Adebayo,,,
163,NGUPDCREIT01,UPDCREIT,,2668269500.0,CONSTRUCTION/REAL ESTATE,Real Estate Investment Trusts,UPDC REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trust & Close End Fund,2008-02-26T00:00:00,2013-03-27T00:00:00,,Real Estate Investment Trust,,,,,,PriceWaterhouseCoopers,,
164,NGSIMCAPVAL6,VALUEFUND,,32096786.0,FINANCIAL SERVICES,Other Financial Institutions,VALUEALLIANCE VALUE FUND,Real Estate Investment Trust & Close End Fund,2011-07-27T00:00:00,2011-06-30T00:00:00,,Closed-ended fund,,,,,,,,
165,NGUNITYKAP04,VERITASKAP,,13866666666.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",VERITAS KAPITAL ASSURANCE PLC,Main Board,,1973-08-08T00:00:00,www.veritaskapital.com,General (Non-life) Insurance,"Plot 497 Abogo Largema Street,Off Constitution Avenue,CBD,Abuja",094619900,094619901,info@veritaskapital.com,Saratu Umar Garba,"Aminu Ibrahim &amp; Co (Chartered Accountants), Aminu Ibrahim &amp; Co (Chartered Accountants), Deloitte &amp;Toche (Chartered Accountants)",Unity Registrars Limited,
166,NGVITAFOAM00,VITAFOAM,,1250844064.0,CONSUMER GOODS,Household Durables,VITAFOAM NIG PLC.,Main Board,,1962-04-08T00:00:00,www.vitafoamng.com,"Manufacturing and Dsiribution of Flexible and Rigid Foam, Technial Foam Products and Fibre Products",140 Oba Akran Avenue Industrial Estate Ikeja,2805070 ,,info@vitafoamng.com,Mr. Olalekan Sanni,Deloitte &amp; Touche Nigeria,Meristem Registrars Limited,
167,NGWEMABANK07,WEMABANK,,38574466082.0,FINANCIAL SERVICES,Banking,WEMA BANK PLC.,Main Board,,1945-05-02T00:00:00,www.wemabank.com,Commercial Banking ,Wema Towers 54 Marina Lagos Island,08039003700,029200494H3E7D4H3E24,purpleconnect@wemabank.com,"Johnson Lebile, Johnson Lebile",Deloitte &amp; Touche Nigeria,"Citadel Registrars Limited, Greenwich Registrars &amp; Data Solutions",
168,NGZENITHBNK9,ZENITHBANK,,31396493786.0,FINANCIAL SERVICES,Banking,ZENITH BANK PLC,Premium Board,2004-10-21T00:00:00,1990-05-30T00:00:00,www.zenithbank.com | SWIFT:ZEIBNGLA,Commercial Banking,"Zenith Heights, Plot 84/87, Ajose Adeogun Street, Victoria Island, Lagos State, Nigeria",012787000,,zenithdirect@zenithbank.com,MICHAEL OSILAMA OTU ESQ,PRICEWATERHOUSECOOPERS,VERITAS REGISTRARS LIMITED,"Dr. Adaora Umeoji , Dr. Al-Mujtaba Abubakar , Dr. Temitope Fasoranti , Engr. Mustafa Bello , Mr. Ahmed Umar Shuaib , Mr. Dennis Olisa , Mr. Ebenezer Nduka Onyeagwu , Mr. Gabriel Ita Asuquo Ukpeh , Mr. Henry Oroh , Mr. Jeffrey Efeyini , Mr. Jim Ovia , Professor Chukuka S. Enwemeka , Professor Oyewusi Ibidapo-Obe "
