internationalSecNumber,typeOfSubmission,description,url,dateModified
NGJAPAULOIL4,Board Meeting (BM),JAPAUL OIL AND MARITIME SERVICES PLC- BOARD MEETING RESOLUTIONS,https://doclib.ngxgroup.com/Financial_NewsDocs/31836_JAPAUL_OIL_AND_MARITIME_SERVICES_PLC _NOTICES_OF_BOARD.pdf,2020-11-03T11:01:48Z
NGJAPAULOIL4,Board Meeting (BM),"OrderedDict([('@xml:space', 'preserve'), ('#text', 'JAPAUL OIL AND MARITIME SERVICES PLC- NOTICE OF BOARD MEETING (BM)')])",https://doclib.ngxgroup.com/Financial_NewsDocs/31557_JAPAUL_OIL_AND_MARITIME_SERVICES_PLC _NOTICES_OF_BOARD.pdf,2020-10-06T16:25:01Z
NGJAPAULOIL4,Corporate Actions,JAPAUL OIL AND MARITIME SERVICES PLC-RESOLUTIONS OF 2020 AGM,https://doclib.ngxgroup.com/Financial_NewsDocs/31187_JAPAUL_OIL_AND_MARITIME_SERVICES_PLC-RESOLUTIONS_OF_20.pdf,2020-08-05T12:56:18Z
NGJAPAULOIL4,Corporate Actions,Japaul Oil & Maritime Services Plc - Notice of Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30612_JAPAUL_PLC_-_AGM_CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-19T15:26:10Z
NGJAPAULOIL4,Corporate Actions,Japual Oil and Maritime Services Plc  - Appointment of Directors,https://doclib.ngxgroup.com/Financial_NewsDocs/26414_JAPUAL_PLC__-APPOINTMENT_OF_DIRECT_CORPORATE_ACTIONS_JUNE_2019.pdf,2019-06-20T16:36:33Z
NGJAPAULOIL4,Corporate Actions,Japaul Oil and Maritime Services - New Board Appointments,https://doclib.ngxgroup.com/Financial_NewsDocs/22639_JAPAUL_-_NEW_BOARD_APPOINTMENTS_CORPORATE_ACTIONS_JUNE_2018.pdf,2018-06-27T13:16:19Z
NGJAPAULOIL4,Corporate Actions,Japaul Oil and Maritime Plc - Equity Financing Update,https://doclib.ngxgroup.com/Financial_NewsDocs/22242_JAPAUL_OIL-EQUITY_FINANCING_UPDATE_CORPORATE_ACTIONS_MAY_2018.pdf,2018-05-09T15:52:11Z
NGJAPAULOIL4,Corporate Actions,Japaul Oil Plc - Equity Financing with Milost Global Inc.,https://doclib.ngxgroup.com/Financial_NewsDocs/20891_JAPAUL_OIL_PLC_-_EQUITY_FINANCING_CORPORATE_ACTIONS_FEBRUARY_2018.pdf,2018-02-20T11:56:56Z
NGJAPAULOIL4,Corporate Actions,Japaul Plc - Appointment of Acting MD,https://doclib.ngxgroup.com/Financial_NewsDocs/19945_JAPAUL_PLC_-_APPOINTMENT_CORPORATE_ACTIONS_OCTOBER_2017.pdf,2017-10-24T10:26:55Z
NGJAPAULOIL4,Corporate Actions,JAPAUL - NEW APPOINTMENTS,https://doclib.ngxgroup.com/Financial_NewsDocs/16157_JAPAUL_-_NEW_APPOINTMENTS_CORPORATE_ACTIONS_JANUARY_2017.pdf,2017-01-17T16:11:29Z
NGJOHNHOLT05,Corporate Actions,JOHN HOLT PLC.-JOHN HOLT PLC REPORTING COMPLIANCE WITH THE NIGERIAN CODE OF CORPORATE GOVERNANCE 2018,https://doclib.ngxgroup.com/Financial_NewsDocs/32094_JOHN_HOLT_PLC JOHN_HOLT_PLC_REPORTING_COMPLIANCE_WITH.pdf,2020-12-31T08:11:40Z
NGJOHNHOLT05,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'JOHN HOLT PLC.-APPOINTMENT OF NON EXECUTIVE DIRECTOR FOR JOHN HOLT PLC')])",https://doclib.ngxgroup.com/Financial_NewsDocs/31706_JOHN_HOLT_PLC APPOINTMENT_OF_NON_EXECUTIVE_DIRECTOR_F.pdf,2020-10-27T09:35:36Z
NGJOHNHOLT05,Corporate Actions,JOHN HOLT PLC.-RESOLUTIONS AT JOHN HOLT PLC 58TH AGM,https://doclib.ngxgroup.com/Financial_NewsDocs/31523_JOHN_HOLT_PLC RESOLUTIONS_AT_JOHN_HOLT_PLC_58TH_AGM_C.pdf,2020-10-02T09:50:20Z
NGJOHNHOLT05,Annual General Meeting (AGM),JOHN HOLT PLC.- NOTICE OF ANNUAL GENERAL MEETING (AGM),https://doclib.ngxgroup.com/Financial_NewsDocs/31385_JOHN_HOLT_PLC.-_NOTICES_OF_ANNUAL_GENERAL_MEETING_(AGM.pdf,2020-09-07T17:51:45Z
NGJOHNHOLT05,Corporate Actions,John Holt Plc - Notice of Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/26366_JOHN_HOLT_PLC._CORPORATE_ACTIONS_JUNE_2019.pdf,2019-06-11T10:58:42Z
NGJOHNHOLT05,Corporate Actions,John Holt Plc - Filing of Outstanding Results,https://doclib.ngxgroup.com/Financial_NewsDocs/21691_JOHN_HOLT_PLC._CORPORATE_ACTIONS_APRIL_2018.pdf,2018-04-10T07:10:11Z
NGJOHNHOLT05,Corporate Actions,JOHN HOLT - FILING OF FINANCIALS,https://doclib.ngxgroup.com/Financial_NewsDocs/18245_JOHN_HOLT_-_FILING_OF_FINANCIALS_CORPORATE_ACTIONS_MAY_2017.pdf,2017-05-24T15:08:54Z
NGJBERGER009,Corporate Actions,JULIUS BERGER NIGERIA PLC-CLOSED PERIOD,https://doclib.ngxgroup.com/Financial_NewsDocs/33019_JULIUS_BERGER_NIGERIA_PLC CLOSED_PERIOD_CORPORATE_ACTI.pdf,2021-04-14T16:32:52Z
NGJBERGER009,Corporate Actions,JULIUS BERGER NIGERIA PLC-FURTHER CORPORATE ACTIONS ANNOUNCEMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/32929_JULIUS_BERGER_NIGERIA_PLC FURTHER_CORPORATE_ACTIONS_AN.pdf,2021-04-02T13:53:45Z
NGJBERGER009,Corporate Actions,JULIUS BERGER NIGERIA PLC-CORPORATE ACTION ANNOUNCEMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/32741_JULIUS_BERGER_NIGERIA_PLC CORPORATE_ACTION_ANNOUNCEMEN.pdf,2021-03-30T08:27:20Z
NGJBERGER009,Corporate Actions,JULIUS BERGER NIGERIA PLC-CLOSED PERIOD,https://doclib.ngxgroup.com/Financial_NewsDocs/32740_JULIUS_BERGER_NIGERIA_PLC CLOSED_PERIOD_CORPORATE_ACTI.pdf,2021-03-30T08:17:16Z
NGJBERGER009,Corporate Actions,JULIUS BERGER NIGERIA PLC-OUTCOME OF BOARD MEETING,https://doclib.ngxgroup.com/Financial_NewsDocs/32687_JULIUS_BERGER_NIGERIA_PLC OUTCOME_OF_BOARD_MEETING_COR.pdf,2021-03-25T19:19:10Z
NGJBERGER009,Board Meeting (BM),"OrderedDict([('@xml:space', 'preserve'), ('#text', 'JULIUS BERGER NIGERIA PLC- NOTICE OF BOARD MEETING (BM)')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32558_JULIUS_BERGER_NIGERIA_PLC _NOTICES_OF_BOARD_MEETING_(B.pdf,2021-03-08T18:14:19Z
NGJBERGER009,Corporate Actions,JULIUS BERGER NIGERIA PLC-CLOSED PERIOD,https://doclib.ngxgroup.com/Financial_NewsDocs/32557_JULIUS_BERGER_NIGERIA_PLC CLOSED_PERIOD_CORPORATE_ACTI.pdf,2021-03-08T16:30:08Z
NGJBERGER009,Corporate Actions,JULIUS BERGER NIGERIA PLC-NCCG 2018 REPORTING TEMPLATE 2020,https://doclib.ngxgroup.com/Financial_NewsDocs/32488_JULIUS_BERGER_NIGERIA_PLC NCCG_2018_REPORTING_TEMPLATE.pdf,2021-02-26T18:31:42Z
NGJBERGER009,Corporate Actions,JULIUS BERGER NIGERIA PLC-CLOSED PERIOD,https://doclib.ngxgroup.com/Financial_NewsDocs/32146_JULIUS_BERGER_NIGERIA_PLC CLOSED_PERIOD_CORPORATE_ACTI.pdf,2021-01-13T08:13:39Z
NGJBERGER009,Board Meeting (BM),JULIUS BERGER NIG. PLC.- NOTICE OF BOARD MEETING (BM),https://doclib.ngxgroup.com/Financial_NewsDocs/31615_JULIUS_BERGER_NIG_PLC _NOTICES_OF_BOARD_MEETING_(BM).pdf,2020-10-13T15:05:37Z
NGJBERGER009,Corporate Actions,JULIUS BERGER NIG. PLC.-AD-HOC ANNOUNCEMENT - BOARD APPROVAL OF DIVERSIFICATION OPPORTUNITY,https://doclib.ngxgroup.com/Financial_NewsDocs/31472_JULIUS_BERGER_NIG._PLC.-AD-HOC_ANNOUNCEMENT_-_BOARD_AP.pdf,2020-09-24T09:01:08Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Resolutions Passed at the Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30666_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-24T16:16:56Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plcrate - Annual General Meeting Guidance Notes,https://doclib.ngxgroup.com/Financial_NewsDocs/30538_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-11T16:13:47Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Live Streaming of Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30537_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-11T16:12:48Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Notice of Share Dealing by Insider,https://doclib.ngxgroup.com/Financial_NewsDocs/29901_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_MAY_2020.pdf,2020-05-05T16:48:52Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Revised Dividend Information,https://doclib.ngxgroup.com/Financial_NewsDocs/29801_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_APRIL_2020.pdf,2020-04-28T13:37:52Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Revised Corporate Actions,https://doclib.ngxgroup.com/Financial_NewsDocs/29800_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_APRIL_2020.pdf,2020-04-28T13:37:08Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Dividend Information,https://doclib.ngxgroup.com/Financial_NewsDocs/29398_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-16T16:11:11Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Notice of Board Meeting and Closed Period for 2019 AFS,https://doclib.ngxgroup.com/Financial_NewsDocs/29169_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_FEBRUARY_2020.pdf,2020-02-25T17:12:41Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Notice of Board Audit Committee Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/28551_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_JANUARY_2020.pdf,2020-01-13T15:38:12Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Changes in Directorate,https://doclib.ngxgroup.com/Financial_NewsDocs/28406_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_DECEMBER_2019.pdf,2019-12-11T07:35:39Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Resignation and Appointment of Directors,https://doclib.ngxgroup.com/Financial_NewsDocs/28387_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_DECEMBER_2019.pdf,2019-12-09T15:07:30Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Notice of Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/27754_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_OCTOBER_2019.pdf,2019-10-14T14:40:14Z
NGJBERGER009,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'Julius Berger Nigeria Plc - Strategic Partnership with Petralon Energy Limited')])",https://doclib.ngxgroup.com/Financial_NewsDocs/27753_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_OCTOBER_2019.pdf,2019-10-14T14:38:10Z
NGJBERGER009,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'Julius Berger Nigeria Plc - Consortium Participation in the Philippines')])",https://doclib.ngxgroup.com/Financial_NewsDocs/27468_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_AUGUST_2019.pdf,2019-09-03T07:33:02Z
NGJBERGER009,Corporate Actions,Julius Berger Nig. Plc - Notice of Board Meeting and Closed Period for 2019 Q2 Accounts,https://doclib.ngxgroup.com/Financial_NewsDocs/26647_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_JULY_2019.pdf,2019-07-10T06:41:59Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Appointment of a Director,https://doclib.ngxgroup.com/Financial_NewsDocs/26428_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_JUNE_2019.pdf,2019-06-20T18:22:48Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Notice of Board Audit Committee Meeting and Closed Period for Q1 2019,https://doclib.ngxgroup.com/Financial_NewsDocs/25768_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_APRIL_2019.pdf,2019-04-11T11:10:36Z
NGJBERGER009,Corporate Actions,Julius Berger Plc - Notice of 49th Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/Julius%20Berger%20Plc%20-%20Notice%20of%2049th%20Annual%20General%20Meeting.pdf,2019-03-27T12:52:36Z
NGJBERGER009,Corporate Actions,Julius Berger Nig. Plc - Dividend Information,https://doclib.ngxgroup.com/Financial_NewsDocs/25365_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_MARCH_2019.pdf,2019-03-22T14:07:21Z
NGJBERGER009,Corporate Actions,Julius Berger Nig. Plc - Notice of Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/25198_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_MARCH_2019.pdf,2019-03-07T07:04:11Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Board Audit Committee Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/24772_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_JANUARY_2019.pdf,2019-01-16T12:24:22Z
NGJBERGER009,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'Julius Berger Nigeria Plc - Board Meeting and Closed Period')])",https://doclib.ngxgroup.com/Financial_NewsDocs/23869_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_OCTOBER_2018.pdf,2018-10-11T15:38:04Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Changes to the Board of Directors and Company,https://doclib.ngxgroup.com/Financial_NewsDocs/23748_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_SEPTEMBER_2018.pdf,2018-09-27T08:05:24Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Notice of Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/23639_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_SEPTEMBER_2018.pdf,2018-09-11T14:14:05Z
NGJBERGER009,Corporate Actions,Julius Berger Nigeria Plc - Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/22825_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_JULY_2018.pdf,2018-07-10T12:11:33Z
NGJBERGER009,Corporate Actions,Julus Berger Nigeria Plc - Notice fo Board Meeting and Closed period,https://doclib.ngxgroup.com/Financial_NewsDocs/21743_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_APRIL_2018.pdf,2018-04-12T14:42:03Z
NGJBERGER009,Corporate Actions,Julius Berger Plc - Board Resolution,https://doclib.ngxgroup.com/Financial_NewsDocs/21258_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_MARCH_2018.pdf,2018-03-16T17:30:52Z
NGJBERGER009,Corporate Actions,Julius Berger - Notice of Board Meeting & Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/21002_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_FEBRUARY_2018.pdf,2018-02-28T11:41:33Z
NGJBERGER009,Corporate Actions,Julius Berger Plc - Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/20682_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_JANUARY_2018.pdf,2018-01-16T12:49:16Z
NGJBERGER009,Corporate Actions,Julius Berger Nig. Plc - Changes on the Board,https://doclib.ngxgroup.com/Financial_NewsDocs/20511_JULIUS_BERGER_NIG._PLC._CORPORATE_ACTIONS_DECEMBER_2017.pdf,2017-12-08T08:26:56Z
NGJBERGER009,Corporate Actions,Julius Berger Plc - Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/19831_JULIUS_BERGER_PLC_-_CLOSED_PERIOD_CORPORATE_ACTIONS_OCTOBER_2017.pdf,2017-10-11T17:00:59Z
NGJBERGER009,Corporate Actions,JULIUSBERGER-STRATEGIC PARTNERSHIP,https://doclib.ngxgroup.com/Financial_NewsDocs/18483_JULIUSBERGER-STRATEGIC_PARTNERSHIP_CORPORATE_ACTIONS_JUNE_2017.pdf,2017-06-19T15:32:07Z
NGJBERGER009,Corporate Actions,JULIUS BERGER - BOARD APPOINTMENTS,https://doclib.ngxgroup.com/Financial_NewsDocs/18470_JULIUS_BERGER_-_BOARD_APPOINTMENTS_CORPORATE_ACTIONS_JUNE_2017.pdf,2017-06-16T15:16:38Z
NGJBERGER009,Corporate Actions,JULIUS BERGER - CLOSED PERIOD,https://doclib.ngxgroup.com/Financial_NewsDocs/17553_JULIUS_BERGER_-_CLOSED_PERIOD_CORPORATE_ACTIONS_APRIL_2017.pdf,2017-04-18T14:36:24Z
NGJBERGER009,Corporate Actions,JULIUS BERGER PLC - CLOSED PERIOD,https://doclib.ngxgroup.com/Financial_NewsDocs/16552_JULIUS_BERGER_PLC_-_CLOSED_PERIOD_CORPORATE_ACTIONS_MARCH_2017.pdf,2017-03-01T08:45:42Z
NGJBERGER009,Corporate Actions,JULIUS BERGER BOARD ANNOUNCEMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/16147_JULIUS_BERGER_BOARD_ANNOUNCEMENT_CORPORATE_ACTIONS_JANUARY_2017.pdf,2017-01-16T12:15:06Z
NGWAPCO00002,Board Meeting (BM),LAFARGE AFRICA PLC.- NOTICES OF BOARD MEETING (BM) - NOTICE,https://doclib.ngxgroup.com/Financial_NewsDocs/32992_LAFARGE_AFRICA_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ _N.pdf,2021-04-13T18:37:54Z
NGWAPCO00002,Corporate Actions,LAFARGE AFRICA PLC.-FY 2020 PRESS RELEASE,https://doclib.ngxgroup.com/Financial_NewsDocs/32664_LAFARGE_AFRICA_PLC FY_2020_PRESS_RELEASE_CORPORATE_AC.pdf,2021-03-24T08:19:17Z
NGWAPCO00002,Corporate Actions,LAFARGE AFRICA PLC.-CORPORATE ACTIONS ANNOUNCEMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/32661_LAFARGE_AFRICA_PLC CORPORATE_ACTIONS_ANNOUNCEMENT_COR.pdf,2021-03-24T08:18:14Z
NGWAPCO00002,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'LAFARGE AFRICA PLC.-LAFARGE AFRICA PLC NIGERIAN CODE OF CORPORATE GOVERNANCE RETURN')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32530_LAFARGE_AFRICA_PLC LAFARGE_AFRICA_PLC_NIGERIAN_CODE_O.pdf,2021-03-03T18:30:37Z
NGWAPCO00002,Board Meeting (BM),LAFARGE AFRICA PLC.- NOTICE OF BOARD MEETING (BM),https://doclib.ngxgroup.com/Financial_NewsDocs/32517_LAFARGE_AFRICA_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ _N.pdf,2021-03-02T11:31:04Z
NGWAPCO00002,Corporate Actions,LAFARGE AFRICA PLC.-NOTICE OF DIVESTMENT IN CONTINENTAL BLUE INVESTMENT GHANA LIMITED,https://doclib.ngxgroup.com/Financial_NewsDocs/32194_LAFARGE_AFRICA_PLC NOTICE_OF_DIVESTMENT_IN_CONTINENTA.pdf,2021-01-21T07:13:41Z
NGWAPCO00002,Board Meeting (BM),LAFARGE AFRICA PLC.- NOTICE OF BOARD MEETING (BM),https://doclib.ngxgroup.com/Financial_NewsDocs/32189_LAFARGE_AFRICA_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ _N.pdf,2021-01-19T19:25:42Z
NGWAPCO00002,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'LAFARGE AFRICA PLC. - 2019 SUSTAINABILITY REPORT')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32053_LAFARGE_AFRICA_PLC LAFARGE_AFRICA_PLC_SUSTAINABILITY_.pdf,2020-12-21T13:21:10Z
NGWAPCO00002,Corporate Actions,LAFARGE AFRICA PLC.-NOTICE OF BOARD CHANGES,https://doclib.ngxgroup.com/Financial_NewsDocs/32029_LAFARGE_AFRICA_PLC NOTICE_OF_BOARD_CHANGES_CORPORATE_.pdf,2020-12-14T14:30:35Z
NGWAPCO00002,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'LAFARGE AFRICA PLC.-LAP Q3 2020 PRESS RELEASE')])",https://doclib.ngxgroup.com/Financial_NewsDocs/31688_LAFARGE_AFRICA_PLC LAP_Q3_2020_PRESS_RELEASE__CORPORA.pdf,2020-10-23T17:22:35Z
NGWAPCO00002,Board Meeting (BM),LAFARGE AFRICA PLC.- NOTICE OF BOARD MEETING (BM),https://doclib.ngxgroup.com/Financial_NewsDocs/31568_LAFARGE_AFRICA_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ _N.pdf,2020-10-07T12:38:27Z
NGWAPCO00002,Board Meeting (BM),"OrderedDict([('@xml:space', 'preserve'), ('#text', 'LAFARGE AFRICA PLC.- NOTICE OF EMERGENCY BOARD MEETING')])",https://doclib.ngxgroup.com/Financial_NewsDocs/31551_LAFARGE_AFRICA_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ _N.pdf,2020-10-06T07:38:11Z
NGWAPCO00002,Corporate Actions,LAFARGE WAPCO PLC.-PRESS RELEASE,https://doclib.ngxgroup.com/Financial_NewsDocs/30995_LAFARGE_WAPCO_PLC.-PRESS_RELEASE_CORPORATE_ACTIONS_JUL.pdf,2020-07-26T09:48:14Z
NGWAPCO00002,Board Meeting (BM),LAFARGE AFRICA PLC- NOTICES OF BOARD MEETING AND CLOSED PERIOD,https://doclib.ngxgroup.com/Financial_NewsDocs/30829_LAFARGE_WAPCO_PLC.-_NOTICES_OF_BOARD_MEETING_(BM)_-_NO.pdf,2020-07-06T22:01:19Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Resolutions Passed at the 61st Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30416_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-08T08:43:37Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Appointment of an Independent Non-Executive Director,https://doclib.ngxgroup.com/Financial_NewsDocs/30369_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-03T20:48:41Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Link to Livestreaming of Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30354_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-02T10:52:25Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Financial Highlights for 2020 Q1 Accounts,https://doclib.ngxgroup.com/Financial_NewsDocs/30014_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_MAY_2020.pdf,2020-05-20T16:08:40Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Notice of Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/29952_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_MAY_2020.pdf,2020-05-11T16:44:31Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Voluntary Retirement of the Chairman of Board of Directors,https://doclib.ngxgroup.com/Financial_NewsDocs/29921_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_MAY_2020.pdf,2020-05-08T11:38:48Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Dividend Information,https://doclib.ngxgroup.com/Financial_NewsDocs/29766_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_APRIL_2020.pdf,2020-04-27T14:36:15Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Notice of Board Changes,https://doclib.ngxgroup.com/Financial_NewsDocs/29627_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_APRIL_2020.pdf,2020-04-08T12:10:01Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Notice of Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/29620_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_APRIL_2020.pdf,2020-04-07T11:10:57Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Dividend Information,https://doclib.ngxgroup.com/Financial_NewsDocs/29592_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_APRIL_2020.pdf,2020-04-06T14:07:46Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Financial Highlights for 2019 AFS,https://doclib.ngxgroup.com/Financial_NewsDocs/29593_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_APRIL_2020.pdf,2020-04-06T14:06:26Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc: Notification of Closed Period and Board Meeting - 2019 AFS,https://doclib.ngxgroup.com/Financial_NewsDocs/29399_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-16T18:28:52Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Resignation of Non-Executive Director,https://doclib.ngxgroup.com/Financial_NewsDocs/28957_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_JANUARY_2020.pdf,2020-01-31T18:14:18Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Change in Management Leadership,https://doclib.ngxgroup.com/Financial_NewsDocs/28458_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_DECEMBER_2019.pdf,2019-12-20T07:33:54Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Appointment of Chief Financial Officer,https://doclib.ngxgroup.com/Financial_NewsDocs/28074_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_OCTOBER_2019.pdf,2019-10-30T11:29:43Z
NGWAPCO00002,Corporate Actions,Lafarge Africa - Performance Review for the Period Ended 30 September 2019,https://doclib.ngxgroup.com/Financial_NewsDocs/27950_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_OCTOBER_2019.pdf,2019-10-28T14:34:10Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Statement on Alleged SEC Probe,https://doclib.ngxgroup.com/Financial_NewsDocs/27848_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_OCTOBER_2019.pdf,2019-10-22T14:26:10Z
NGWAPCO00002,Corporate Actions,Lafarge Africa Plc - Resignation of Chief Finance Officer,https://doclib.ngxgroup.com/Financial_NewsDocs/27567_LAFARGE_WAPCO_PLC._CORPORATE_ACTIONS_SEPTEMBER_2019.pdf,2019-09-18T12:29:06Z
